Convention type,Pattern,Example,Frequency,Scope
naming,parse* method naming pattern,parseInputs,,project-wide
naming,set* method naming pattern,setClasspath,,project-wide
naming,Builder suffix for classes,Builder,,project-wide
imports,Static imports from java.util,java.util.Collections.*,,project-wide
imports,Static imports from java.util.stream,java.util.stream.Collectors.toList,,project-wide
imports,Static imports from org.openrewrite,org.openrewrite.Tree.randomId,,project-wide
imports,Static imports from org.openrewrite.internal,org.openrewrite.internal.StringUtils.indexOfNextNonWhitespace,,project-wide
imports,Static imports from org.openrewrite.java.tree,org.openrewrite.java.tree.Space.EMPTY,,project-wide
naming,init* method naming pattern,initMarkdown,,project-wide
comments,Methods have Javadoc documentation,consumeNameWithUnicodeEscapes,,project-wide
naming,convert* method naming pattern,convertMultiline,,project-wide
naming,get* method naming pattern,getLeadingAnnotations,,project-wide
comments,Classes have Javadoc documentation,ReloadableJava25Parser,,project-wide
naming,handle* method naming pattern,handleParsingException,,project-wide
naming,Manager suffix for classes,ByteArrayCapableJavacFileManager,,project-wide
naming,is* method naming pattern,isNameCompatible,,project-wide
imports,Static imports from java.lang,java.lang.Math.max,,project-wide
naming,UPPER_SNAKE_CASE for constants,SURR_FIRST,,project-wide
naming,camelCase for constants,whitespaceSuffixPattern,,project-wide
naming,build* method naming pattern,buildName,,project-wide
naming,find* method naming pattern,findFirstNonWhitespaceChar,,project-wide
naming,has* method naming pattern,hasLombokGeneratedSymbol,,project-wide
naming,format* method naming pattern,formatWithCommentTree,,project-wide
imports,Static imports from org.openrewrite.java.tree.JavaType.GenericTypeVariable,org.openrewrite.java.tree.JavaType.GenericTypeVariable.Variance.*,,project-wide
imports,Static imports from org.openrewrite.rpc,org.openrewrite.rpc.RpcReceiveQueue.toEnum,,project-wide
naming,Spec suffix for classes,GroupedSpec,,project-wide
naming,Service suffix for classes,GolangAutoFormatService,,project-wide
imports,Static imports from org.assertj.core.api,org.assertj.core.api.Assertions.assertThat,,project-wide
imports,Static imports from org.openrewrite.golang,org.openrewrite.golang.Assertions.goMod,,project-wide
naming,Test suffix for classes,GoModParserTest,,project-wide
imports,Static imports from org.junit.jupiter.api,org.junit.jupiter.api.Assumptions.assumeTrue,,project-wide
imports,Static imports from org.openrewrite.test,org.openrewrite.test.RewriteTest.toRecipe,,project-wide
imports,Static imports from org.openrewrite.java.format,org.openrewrite.java.format.AutodetectGeneralFormatStyle.autodetectGeneralFormatStyle,,project-wide
imports,Static imports from org.openrewrite.java,org.openrewrite.java.Assertions.sourceSet,,project-wide
naming,validate* method naming pattern,validateTypes,,project-wide
imports,Static imports from org.jetbrains.kotlin.cli.common.messages,org.jetbrains.kotlin.cli.common.messages.MessageRenderer.PLAIN_FULL_PATHS,,project-wide
imports,Static imports from org.jetbrains.kotlin.cli.jvm,org.jetbrains.kotlin.cli.jvm.JvmArgumentsKt.*,,project-wide
imports,Static imports from org.jetbrains.kotlin.cli.jvm.config,org.jetbrains.kotlin.cli.jvm.config.JvmContentRootsKt.*,,project-wide
imports,Static imports from org.jetbrains.kotlin.config,org.jetbrains.kotlin.config.CommonConfigurationKeys.*,,project-wide
imports,Static imports from org.openrewrite.kotlin.KotlinParser,org.openrewrite.kotlin.KotlinParser.SourcePathFromSourceTextResolver.determinePath,,project-wide
naming,update* method naming pattern,updateSpace,,project-wide
naming,Exception suffix for classes,KotlinParsingException,,project-wide
naming,create* method naming pattern,createIdentifier,,project-wide
naming,Utils suffix for classes,KotlinTypeUtils,,project-wide
imports,Static imports from org.openrewrite.kotlin,org.openrewrite.kotlin.Assertions.kotlin,,project-wide
imports,Static imports from org.openrewrite.toml,org.openrewrite.toml.SemanticallyEqual.areEqual,,project-wide
naming,delete* method naming pattern,deleteTopLevelKey,,project-wide
imports,Static imports from com.sun.tools.javac.util,com.sun.tools.javac.util.List.nil,,project-wide
imports,Static imports from org.openrewrite.java.isolated,org.openrewrite.java.isolated.ReloadableJava21TypeMapping.isUnknownType,,project-wide
naming,should* method naming pattern,shouldLoadResourceFromClasspath,,project-wide
naming,Configuration suffix for classes,GradleEnterpriseConfiguration,,project-wide
imports,Static imports from org.openrewrite.xml,org.openrewrite.xml.AddToTagVisitor.addToTag,,project-wide
naming,Repository suffix for classes,AddRepository,,project-wide
naming,Config suffix for classes,AddRuntimeConfig,,project-wide
imports,Static imports from java.nio.charset,java.nio.charset.StandardCharsets.UTF_8,,project-wide
imports,Static imports from org.openrewrite.maven.tree,org.openrewrite.maven.tree.MavenRepository.MAVEN_LOCAL_DEFAULT,,project-wide
imports,Static imports from org.openrewrite.maven.utilities,org.openrewrite.maven.utilities.MavenDependencyPropertyUsageOverlap.*,,project-wide
imports,Static imports from org.openrewrite.maven.RemoveRedundantDependencyVersions,org.openrewrite.maven.RemoveRedundantDependencyVersions.Comparator.GTE,,project-wide
imports,Static imports from org.openrewrite.maven,org.openrewrite.maven.MavenVisitor.*,,project-wide
naming,can* method naming pattern,canNarrowScopeOfImplicitTransitiveDependency,,project-wide
imports,Static imports from org.openrewrite.properties,org.openrewrite.properties.Assertions.properties,,project-wide
naming,save* method naming pattern,saveFileWhenInputStringExists,,project-wide
imports,Static imports from java.time,java.time.ZoneOffset.UTC,,project-wide
naming,Tests suffix for classes,SharedTests,,project-wide
imports,Static imports from org.openrewrite.yaml.MergeYaml,org.openrewrite.yaml.MergeYaml.InsertMode.*,,project-wide
imports,Static imports from org.openrewrite.yaml,org.openrewrite.yaml.MergeYaml.REMOVE_PREFIX,,project-wide
imports,Static imports from org.openrewrite.marker,org.openrewrite.marker.Markers.EMPTY,,project-wide
imports,Static imports from org.openrewrite.yaml.tree.Yaml.Scalar,org.openrewrite.yaml.tree.Yaml.Scalar.Style.PLAIN,,project-wide
imports,Static imports from org.openrewrite.format,org.openrewrite.format.LineBreaks.normalizeNewLines,,project-wide
imports,Static imports from org.openrewrite.yaml.internal,org.openrewrite.yaml.internal.StringUtils.quoteIfNeeded,,project-wide
naming,Handler suffix for classes,AllArgsConstructorHandler,,project-wide
imports,Static imports from lombok.core.AST,lombok.core.AST.Kind.ANNOTATION,,project-wide
naming,find* method naming pattern,findBuilderDefaultIndexes,,project-wide
imports,Static imports from java.util,java.util.Collections.emptyList,,project-wide
naming,create* method naming pattern,createLombokProcessor,,project-wide
comments,Classes have Javadoc documentation,ResourceFilteredClassLoader,,project-wide
naming,get* method naming pattern,getResources,,project-wide
naming,camelCase for constants,cache,,project-wide
imports,Static imports from org.openrewrite.java,org.openrewrite.java.Assertions.sourceSet,,project-wide
imports,Static imports from org.openrewrite.test,org.openrewrite.test.SourceSpecs.dir,,project-wide
naming,Builder suffix for classes,GroovyAstTypeSignatureBuilder,,project-wide
imports,Static imports from java.util.stream,java.util.stream.Collectors.toList,,project-wide
naming,parse* method naming pattern,parseInputs,,project-wide
comments,Methods have Javadoc documentation,addClasspathEntry,,project-wide
imports,Static imports from java.lang,java.lang.Character.isJavaIdentifierPart,,project-wide
imports,Static imports from org.openrewrite,org.openrewrite.Tree.randomId,,project-wide
imports,Static imports from org.openrewrite.groovy.internal,org.openrewrite.groovy.internal.Delimiter.*,,project-wide
imports,Static imports from org.openrewrite.internal,org.openrewrite.internal.StringUtils.indexOfNextNonWhitespace,,project-wide
imports,Static imports from org.openrewrite.java.tree,org.openrewrite.java.tree.Space.EMPTY,,project-wide
naming,UPPER_SNAKE_CASE for constants,MULTILINE_COMMENT_REGEX,,project-wide
naming,is* method naming pattern,isOlderThanGroovy3,,project-wide
naming,build* method naming pattern,buildNewArrayInitializer,,project-wide
naming,convert* method naming pattern,convertAll,,project-wide
naming,validate* method naming pattern,validateIsDelimiter,,project-wide
naming,Exception suffix for classes,GroovyParsingException,,project-wide
imports,Static imports from org.openrewrite.java.tree.JavaType.GenericTypeVariable,org.openrewrite.java.tree.JavaType.GenericTypeVariable.Variance.*,,project-wide
naming,Service suffix for classes,GroovyWhitespaceValidationService,,project-wide
imports,Static imports from org.assertj.core.api,org.assertj.core.api.Assertions.assertThat,,project-wide
imports,Static imports from org.openrewrite.groovy,org.openrewrite.groovy.Assertions.groovy,,project-wide
naming,Test suffix for classes,ChangePackageAdaptabilityTest,,project-wide
naming,delete* method naming pattern,deleteStatement,,project-wide
imports,Static imports from org.junit.jupiter.api,org.junit.jupiter.api.Assertions.*,,project-wide
imports,Static imports from org.openrewrite.style,org.openrewrite.style.StyleHelper.fromStyles,,project-wide
naming,has* method naming pattern,hasPackage,,project-wide
naming,should* method naming pattern,shouldNotFailWhenImportCannotBeResolved,,project-wide
naming,format* method naming pattern,formatInfiniteLoop,,project-wide
imports,Static imports from org.openrewrite.java.format,org.openrewrite.java.format.AutodetectGeneralFormatStyle.autodetectGeneralFormatStyle,,project-wide
imports,Static imports from org.openrewrite.marker,org.openrewrite.marker.Markers.EMPTY,,project-wide
naming,update* method naming pattern,updateInitializer,,project-wide
naming,Utils suffix for classes,JavaKeywordUtils,,project-wide
naming,set* method naming pattern,setClasspath,,project-wide
naming,load* method naming pattern,loadClass,,project-wide
naming,process* method naming pattern,processArgument,,project-wide
