Library,Top-level package,Usage pattern,Common classes,Import count,Example usage
org.jspecify:jspecify:1.0.0,org.jspecify,,Nullable,1,
org.projectlombok:lombok:1.18.46,org.projectlombok,,Getter,1,
org.ow2.asm:asm:9.9.1,org.ow2.asm,,"ClassReader, ClassVisitor, Opcodes",1,
org.jetbrains:annotations:26.1.0,org.jetbrains,,Contract,1,
com.fasterxml.jackson.core:jackson-annotations:2.21,com.fasterxml.jackson.core,,"JsonIdentityInfo, ObjectIdGenerators, ObjectIdGenerators.IntSequenceGenerator",1,
org.junit.jupiter:junit-jupiter-api:5.14.0,org.junit.jupiter,,Test,1,
org.assertj:assertj-core:4.0.0-M1,org.assertj,,Assertions,1,
org.opentest4j:opentest4j:1.3.0,org.opentest4j,,AssertionFailedError,1,
org.jetbrains.kotlin:kotlin-compiler-embeddable:2.3.20,org.jetbrains.kotlin,,"CompilerPluginRegistrar.Companion, FileViewProvider, CompilerConfigurationKey, FirUtilsKt, EnvironmentConfigFiles, PsiManager, KotlinFileType, Name",1,
org.jetbrains.kotlin:kotlin-stdlib:2.3.20,org.jetbrains.kotlin,,"Pair, Function1, AnnotationTarget",1,
com.fasterxml.jackson.core:jackson-databind:2.21.2,com.fasterxml.jackson.core,,"SerializerProvider, JsonSerialize, JsonDeserialize, JsonDeserializer, TypeSerializer, JsonSerializer, DeserializationContext",1,
com.fasterxml.jackson.core:jackson-core:2.21.2,com.fasterxml.jackson.core,,"WritableTypeId, JsonParser, JsonToken, JsonGenerator",1,
org.junit.jupiter:junit-jupiter-params:5.14.0,org.junit.jupiter,,"ValueSource, CsvSource, ParameterizedTest",1,
org.junit-pioneer:junit-pioneer:2.3.0,org.junit-pioneer,,ExpectedToFail,1,
org.antlr:antlr4-runtime:4.13.2,org.antlr,,"CharStreams, RecognitionException, Recognizer, BaseErrorListener, CommonTokenStream",1,
com.fasterxml.jackson.dataformat:jackson-dataformat-xml:2.21.2,com.fasterxml.jackson.dataformat,,"DefaultXmlPrettyPrinter, JacksonXmlRootElement",1,
io.micrometer:micrometer-core:1.9.17,io.micrometer,,"CaffeineCacheMetrics, Metrics, CompositeMeterRegistry",1,
com.fasterxml.jackson.datatype:jackson-datatype-jdk8:2.21.2,com.fasterxml.jackson.datatype,,Jdk8Module,1,
com.fasterxml.jackson.dataformat:jackson-dataformat-smile:2.21.2,com.fasterxml.jackson.dataformat,,"SmileGenerator, SmileGenerator.Feature, SmileFactory",1,
com.fasterxml.jackson.module:jackson-module-parameter-names:2.21.2,com.fasterxml.jackson.module,,ParameterNamesModule,1,
org.rocksdb:rocksdbjni:10.2.1,org.rocksdb,,"RocksDB, FlushOptions, WriteOptions, RocksIterator, Options, RocksDBException",1,
dev.failsafe:failsafe:3.3.2,dev.failsafe,,"RetryPolicy, Failsafe, FailsafeException",1,
com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.21.2,com.fasterxml.jackson.datatype,,JavaTimeModule,1,
com.fasterxml.woodstox:woodstox-core:7.1.1,com.fasterxml.woodstox,,"WstxInputFactory, WstxOutputFactory",1,
com.fasterxml.jackson.module:jackson-module-jaxb-annotations:2.21.2,com.fasterxml.jackson.module,,JaxbAnnotationModule,1,
javax.xml.bind:jaxb-api:2.2.12,javax.xml.bind,,XmlRootElement,1,
io.moderne:jsonrpc:1.1.0-SNAPSHOT,io.moderne,,"JsonRpc, TraceMessageHandler, HeaderDelimitedMessageHandler, JsonMessageFormatter, MessageHandler",1,
com.squareup.okhttp3:okhttp-tls:4.12.0,com.squareup.okhttp3,,"HandshakeCertificates, HeldCertificate, HandshakeCertificates.Builder, HeldCertificate.Builder",1,
com.squareup.okhttp3:mockwebserver:4.12.0,com.squareup.okhttp3,,"MockResponse, Dispatcher, RecordedRequest, MockWebServer",1,
com.squareup.okhttp3:okhttp:4.12.0,com.squareup.okhttp3,,"OkHttpClient.Builder, OkHttpClient",1,
com.google.guava:guava:999.0.0-HEAD-jre-SNAPSHOT,com.google.guava,,Lists,1,
com.squareup.okio:okio-jvm:3.9.1,com.squareup.okio,,Buffer,1,
org.yaml:snakeyaml:2.6,org.yaml,,Event,1,
org.junit-pioneer:junit-pioneer:2.0.0,org.junit-pioneer,,ExpectedToFail,1,
org.projectlombok:lombok:1.18.46,org.projectlombok,,AllArgsConstructor,1,
org.jspecify:jspecify:1.0.0,org.jspecify,,Nullable,1,
org.jetbrains:annotations:26.1.0,org.jetbrains,,Language,1,
org.apache.groovy:groovy:4.0.31,org.apache.groovy,,"SourceUnit, ModuleNode",1,
com.fasterxml.jackson.core:jackson-annotations:2.21,com.fasterxml.jackson.core,,JsonCreator,1,
org.junit.jupiter:junit-jupiter-api:5.14.0,org.junit.jupiter,,Test,1,
org.junit-pioneer:junit-pioneer:2.3.0,org.junit-pioneer,,ExpectedToFail,1,
org.junit.jupiter:junit-jupiter-params:5.14.0,org.junit.jupiter,,"MethodSource, ParameterizedTest",1,
org.antlr:antlr4-runtime:4.13.2,org.antlr,,"CommonTokenStream, CharStreams, ANTLRErrorListener",1,
org.apache.commons:commons-text:1.15.0,org.apache.commons,,StringEscapeUtils,1,
com.fasterxml.jackson.core:jackson-databind:2.21.2,com.fasterxml.jackson.core,,JsonPOJOBuilder,1,
org.ow2.asm:asm:9.9.1,org.ow2.asm,,"SignatureVisitor, SignatureReader, Opcodes",1,
org.ow2.asm:asm-util:9.9.1,org.ow2.asm,,CheckClassAdapter,1,
io.micrometer:micrometer-core:1.9.17,io.micrometer,,"Timer, CompositeMeterRegistry, Metrics",1,
io.github.classgraph:classgraph:4.8.184,io.github.classgraph,,"ClassGraph, ClassInfo, ClassInfoList, ScanResult",1,
com.puppycrawl.tools:checkstyle:9.3,com.puppycrawl.tools,,"ConfigurationLoader.IgnoredModulesOptions, CheckstyleException, Configuration, ConfigurationLoader",1,
