Source path,Class name,Method name,Pattern type,Exception types,Handling strategy,Logging framework,Log level
rewrite-java-25/src/main/java/org/openrewrite/java/Java25Parser.java,org.openrewrite.java.Java25Parser$Builder,build,try-catch,Exception,wrap,,
rewrite-java-25/src/main/java/org/openrewrite/java/isolated/ReloadableJava25JavadocVisitor.java,org.openrewrite.java.isolated.ReloadableJava25JavadocVisitor,visitReference,try-catch,NullPointerException,ignore,,
rewrite-java-25/src/main/java/org/openrewrite/java/isolated/ReloadableJava25Parser.java,org.openrewrite.java.isolated.ReloadableJava25Parser,ReloadableJava25Parser,try-catch,ReflectiveOperationException,ignore,SLF4J,
rewrite-java-25/src/main/java/org/openrewrite/java/isolated/ReloadableJava25Parser.java,org.openrewrite.java.isolated.ReloadableJava25Parser,parseInputs,try-catch,Throwable,recover,SLF4J,
rewrite-java-25/src/main/java/org/openrewrite/java/isolated/ReloadableJava25Parser.java,org.openrewrite.java.isolated.ReloadableJava25Parser,parseInputsToCompilerAst,try-catch,IOException,wrap,SLF4J,
rewrite-java-25/src/main/java/org/openrewrite/java/isolated/ReloadableJava25Parser.java,org.openrewrite.java.isolated.ReloadableJava25Parser,parseInputsToCompilerAst,try-catch,IllegalStateException,rethrow,SLF4J,
rewrite-java-25/src/main/java/org/openrewrite/java/isolated/ReloadableJava25Parser.java,org.openrewrite.java.isolated.ReloadableJava25Parser,parseInputsToCompilerAst,try-catch,Throwable,custom,SLF4J,
rewrite-java-25/src/main/java/org/openrewrite/java/isolated/ReloadableJava25Parser.java,org.openrewrite.java.isolated.ReloadableJava25Parser,parseInputsToCompilerAst,try-catch,Throwable,custom,SLF4J,
rewrite-java-25/src/main/java/org/openrewrite/java/isolated/ReloadableJava25Parser.java,org.openrewrite.java.isolated.ReloadableJava25Parser$ByteArrayCapableJavacFileManager,list,throws-declaration,IOException,propagate,,
rewrite-java-25/src/main/java/org/openrewrite/java/isolated/ReloadableJava25ParserVisitor.java,org.openrewrite.java.isolated.ReloadableJava25ParserVisitor,convert,try-catch,Throwable,rethrow,,
rewrite-java-25/src/main/java/org/openrewrite/java/isolated/ReloadableJava25ParserVisitor.java,org.openrewrite.java.isolated.ReloadableJava25ParserVisitor,listFlags,try-catch,IllegalAccessException,wrap,,
rewrite-java-25/src/main/java/org/openrewrite/java/isolated/ReloadableJava25ParserVisitor.java,org.openrewrite.java.isolated.ReloadableJava25ParserVisitor,listFlags,try-catch,IllegalAccessException,wrap,,
rewrite-java-25/src/main/java/org/openrewrite/java/isolated/ReloadableJava25TypeMapping.java,org.openrewrite.java.isolated.ReloadableJava25TypeMapping,methodInvocationType,try-catch,Exception,ignore,,
rewrite-java-25/src/main/java/org/openrewrite/java/isolated/ReloadableJava25TypeMapping.java,org.openrewrite.java.isolated.ReloadableJava25TypeMapping,methodDeclarationType,try-catch,UnsupportedOperationException,ignore,,
rewrite-java-25/src/main/java/org/openrewrite/java/isolated/ReloadableJava25TypeMapping.java,org.openrewrite.java.isolated.ReloadableJava25TypeMapping,completeClassSymbol,try-catch,<unknown>,ignore,,
rewrite-java-25/src/main/java/org/openrewrite/java/isolated/ReloadableJava25TypeSignatureBuilder.java,org.openrewrite.java.isolated.ReloadableJava25TypeSignatureBuilder,signature,try-catch,<unknown>,recover,,
rewrite-java-25/src/main/java/org/openrewrite/java/isolated/ReloadableJava25TypeSignatureBuilder.java,org.openrewrite.java.isolated.ReloadableJava25TypeSignatureBuilder,completeClassSymbol,try-catch,<unknown>,ignore,,
rewrite-go/src/main/java/org/openrewrite/golang/GoModParser.java,org.openrewrite.golang.GoModParser,parseSumSibling,try-catch,IOException,ignore,,
rewrite-go/src/main/java/org/openrewrite/golang/rpc/GoRewriteRpc.java,org.openrewrite.golang.rpc.GoRewriteRpc$Builder,get,try-catch,IOException,wrap,,
rewrite-go/src/integTest/java/org/openrewrite/golang/rpc/GolangAutoFormatIntegTest.java,org.openrewrite.golang.rpc.GolangAutoFormatIntegTest,checkGofmt,try-catch,Exception,custom,,
rewrite-go/src/integTest/java/org/openrewrite/golang/rpc/GolangAutoFormatIntegTest.java,org.openrewrite.golang.rpc.GolangAutoFormatIntegTest,runGofmt,try-catch,IOException | InterruptedException,wrap,,
rewrite-kotlin/src/main/java/org/openrewrite/kotlin/Assertions.java,org.openrewrite.kotlin.Assertions,visitSpace,try-catch,Exception,custom,,
rewrite-kotlin/src/main/java/org/openrewrite/kotlin/KotlinParser.java,org.openrewrite.kotlin.KotlinParser,parseInputs,try-catch,Throwable,recover,,
rewrite-kotlin/src/main/java/org/openrewrite/kotlin/KotlinParser.java,org.openrewrite.kotlin.KotlinParser,parseInputs,try-catch,Throwable,recover,,
rewrite-kotlin/src/main/java/org/openrewrite/kotlin/KotlinParser.java,org.openrewrite.kotlin.KotlinParser$Builder,buildModule,try-catch,UnsupportedOperationException,custom,,
rewrite-kotlin/src/main/java/org/openrewrite/kotlin/format/MergeSpacesVisitor.java,org.openrewrite.kotlin.format.MergeSpacesVisitor,evaluate,try-catch,NoSuchMethodError,recover,,
rewrite-kotlin/src/main/java/org/openrewrite/kotlin/internal/KotlinTreeParserVisitor.java,org.openrewrite.kotlin.internal.KotlinTreeParserVisitor,visitKtFile,try-catch,Exception,custom,,
rewrite-kotlin/src/main/java/org/openrewrite/kotlin/style/Autodetect.java,org.openrewrite.kotlin.style.Autodetect$FindLineFormatJavaVisitor,visit,try-catch,Exception,ignore,,
rewrite-kotlin/src/main/java/org/openrewrite/kotlin/style/Autodetect.java,org.openrewrite.kotlin.style.Autodetect$FindIndentJavaVisitor,visit,try-catch,Exception,ignore,,
rewrite-kotlin/src/main/java/org/openrewrite/kotlin/style/Autodetect.java,org.openrewrite.kotlin.style.Autodetect$FindSpacesStyle,visit,try-catch,Exception,ignore,,
rewrite-kotlin/src/main/java/org/openrewrite/kotlin/style/ImportLayoutStyle.java,org.openrewrite.kotlin.style.Deserializer,deserialize,throws-declaration,IOException,propagate,,
rewrite-kotlin/src/main/java/org/openrewrite/kotlin/style/ImportLayoutStyle.java,org.openrewrite.kotlin.style.Serializer,serializeWithType,throws-declaration,IOException,propagate,,
rewrite-kotlin/src/main/java/org/openrewrite/kotlin/style/ImportLayoutStyle.java,org.openrewrite.kotlin.style.Serializer,serialize,throws-declaration,IOException,propagate,,
