name,displayName,description,category1,category2,category3,category4,option1Name,option1DisplayName,option1Description,option2Name,option2DisplayName,option2Description,option3Name,option3DisplayName,option3Description,option4Name,option4DisplayName,option4Description,option5Name,option5DisplayName,option5Description,option6Name,option6DisplayName,option6Description,ecosystem,packageName,version
org.openrewrite.java.AddCommentToImport,Add comment to import statement,Add a comment to an import statement in a Java source file.,Java,Openrewrite,Org,,comment,Comment,The comment to add.,typePattern,Type pattern,A type pattern that is used to find matching imports uses.,,,,,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.AddCommentToMethod,Add comment to method declarations,Add a comment to method declarations in a Java source file.,Java,Openrewrite,Org,,comment,Comment,The comment to add.,methodPattern,Method pattern,"A pattern to match methods to add the comment to. A [method pattern](https://docs.openrewrite.org/reference/method-patterns) is used to find matching method declarations. For example, to find all method declarations in the Guava library, use the pattern: `com.google.common..*#*(..)`.<br/><br/>The pattern format is `<PACKAGE>#<METHOD_NAME>(<ARGS>)`. <br/><br/>`..*` includes all subpackages of `com.google.common`. <br/>`*(..)` matches any method name with any number of arguments. <br/><br/>For more specific queries, like Guava's `ImmutableMap`, use `com.google.common.collect.ImmutableMap#*(..)` to narrow down the results.",isMultiline,Multiline,Comments use by default single line // but they can use multiline /* */.,,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.AddCommentToMethodInvocations,Add comment to method invocations,Add a comment to method invocations in a Java source file.,Java,Openrewrite,Org,,comment,Comment,The comment to add.,methodPattern,Method pattern,"A pattern to match methods to add the comment to. A [method pattern](https://docs.openrewrite.org/reference/method-patterns) is used to find matching method invocations. For example, to find all method invocations in the Guava library, use the pattern: `com.google.common..*#*(..)`.<br/><br/>The pattern format is `<PACKAGE>#<METHOD_NAME>(<ARGS>)`. <br/><br/>`..*` includes all subpackages of `com.google.common`. <br/>`*(..)` matches any method name with any number of arguments. <br/><br/>For more specific queries, like Guava's `ImmutableMap`, use `com.google.common.collect.ImmutableMap#*(..)` to narrow down the results.",,,,,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.AddLicenseHeader,Add license header,Adds license headers to Java source files when missing. Does not override existing license headers.,Java,Openrewrite,Org,,licenseText,License text,The license header text without the block comment. May contain ${CURRENT_YEAR} property.,,,,,,,,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.AddLiteralMethodArgument,Add a literal method argument,Add a literal `String` or `int` argument to method invocations.,Java,Openrewrite,Org,,methodPattern,Method pattern,"A [method pattern](https://docs.openrewrite.org/reference/method-patterns) is used to find matching method invocations. For example, to find all method invocations in the Guava library, use the pattern: `com.google.common..*#*(..)`.<br/><br/>The pattern format is `<PACKAGE>#<METHOD_NAME>(<ARGS>)`. <br/><br/>`..*` includes all subpackages of `com.google.common`. <br/>`*(..)` matches any method name with any number of arguments. <br/><br/>For more specific queries, like Guava's `ImmutableMap`, use `com.google.common.collect.ImmutableMap#*(..)` to narrow down the results.",argumentIndex,Argument index,A zero-based index that indicates which argument will be added as null to the method invocation.,literal,Literal,The literal value that we add the argument for.,primitiveType,Parameter type,The type of the parameter that we add the argument for. Defaults to `String`.,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.AddMethodParameter,Add method parameter to a method declaration,Adds a new method parameter to an existing method declaration.,Java,Openrewrite,Org,,methodPattern,Method pattern,A method pattern that is used to find the method declarations to modify.,parameterType,Parameter type,The type of the parameter that gets added.,parameterName,Parameter name,The name of the parameter that gets added.,parameterIndex,Parameter index,A zero-based index that indicates the position at which the parameter will be added. At the end by default.,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.AddNullMethodArgument,Add a `null` method argument,Add a `null` argument to method invocations.,Java,Openrewrite,Org,,methodPattern,Method pattern,"A [method pattern](https://docs.openrewrite.org/reference/method-patterns) is used to find matching method invocations. For example, to find all method invocations in the Guava library, use the pattern: `com.google.common..*#*(..)`.<br/><br/>The pattern format is `<PACKAGE>#<METHOD_NAME>(<ARGS>)`. <br/><br/>`..*` includes all subpackages of `com.google.common`. <br/>`*(..)` matches any method name with any number of arguments. <br/><br/>For more specific queries, like Guava's `ImmutableMap`, use `com.google.common.collect.ImmutableMap#*(..)` to narrow down the results.",argumentIndex,Argument index,A zero-based index that indicates which argument will be added as null to the method invocation.,parameterType,Parameter type,The type of the parameter that we add the argument for.,parameterName,Parameter name,The name of the parameter that we add the argument for.,explicitCast,Explicit cast,Explicitly cast the argument to the parameter type. Useful if the method is overridden with another type.,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.AddOrUpdateAnnotationAttribute,Add or update annotation attribute,"Some annotations accept arguments. This recipe sets an existing argument to the specified value, or adds the argument if it is not already set.",Java,Openrewrite,Org,,annotationType,Annotation type,The fully qualified name of the annotation.,attributeName,Attribute name,The name of attribute to change. If omitted defaults to 'value'.,attributeValue,Attribute value,"The value to set the attribute to. If the attribute is an array, provide values separated by comma to add multiple attributes at once. Set to `null` to remove the attribute.",oldAttributeValue,Old Attribute value,"The current value of the attribute, this can be used to filter where the change is applied. Set to `null` for wildcard behavior.",addOnly,Add only,"If `true`, disables upgrading existing annotation attribute values, thus the recipe will only add the attribute if it does not already exist. If omitted or `false`, the recipe adds the attribute if missing or updates its value if present.",appendArray,Append array,"If the attribute is an array and attribute is present, setting this option to `true` will append the value(s). Duplicate values will not be added. If omitted or `false`, the recipe will replace the existing value(s) with the new value(s).",maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.ChangeAnnotationAttributeName,Change annotation attribute name,Some annotations accept arguments. This recipe renames an existing attribute.,Java,Openrewrite,Org,,annotationType,Annotation Type,The fully qualified name of the annotation.,oldAttributeName,Old attribute name,The name of attribute to change.,newAttributeName,New attribute name,The new attribute name to use.,,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
org.openrewrite.java.ChangeMethodAccessLevel,Change method access level,"Change the access level (public, protected, private, package private) of a method.",Java,Openrewrite,Org,,methodPattern,Method pattern,"A [method pattern](https://docs.openrewrite.org/reference/method-patterns) is used to find matching method invocations. For example, to find all method invocations in the Guava library, use the pattern: `com.google.common..*#*(..)`.<br/><br/>The pattern format is `<PACKAGE>#<METHOD_NAME>(<ARGS>)`. <br/><br/>`..*` includes all subpackages of `com.google.common`. <br/>`*(..)` matches any method name with any number of arguments. <br/><br/>For more specific queries, like Guava's `ImmutableMap`, use `com.google.common.collect.ImmutableMap#*(..)` to narrow down the results.",newAccessLevel,New access level,New method access level to apply to the method.,matchOverrides,Match on overrides,"When enabled, find methods that are overrides of the method pattern.",,,,,,,,,,maven,org.openrewrite:rewrite-core,8.64.0-SNAPSHOT
