ecosystem,packageName,name,displayName,description,recipeCount,category1,category2,category1Description,category2Description,options,dataTables
maven,org.openrewrite:rewrite-docker,org.openrewrite.docker.AddAptGetCleanup,Add apt-get cleanup,"Adds cleanup commands to apt-get RUN instructions to reduce Docker image size. By default, adds 'rm -rf /var/lib/apt/lists/*' to remove cached package lists.",1,,Docker,,Recipes to perform [Docker](https://docker.com/) migration tasks.,"[{""name"":""cleanupCommand"",""type"":""String"",""displayName"":""Cleanup command"",""description"":""The cleanup command to append. Defaults to ' && rm -rf /var/lib/apt/lists/*'."",""example"":"" && apt-get clean && rm -rf /var/lib/apt/lists/*""}]",
maven,org.openrewrite:rewrite-docker,org.openrewrite.docker.AddOciLabels,Add OCI image labels,"Adds standard OCI (Open Container Initiative) image labels to a Dockerfile. These labels provide metadata about the image such as title, version, source, and license information. See https://github.com/opencontainers/image-spec/blob/main/annotations.md for the specification.",1,,Docker,,Recipes to perform [Docker](https://docker.com/) migration tasks.,"[{""name"":""title"",""type"":""String"",""displayName"":""Title"",""description"":""Human-readable title of the image (org.opencontainers.image.title)."",""example"":""My Application""},{""name"":""description"",""type"":""String"",""displayName"":""Description"",""description"":""Human-readable description of the image (org.opencontainers.image.description)."",""example"":""A containerized web application""},{""name"":""version"",""type"":""String"",""displayName"":""Version"",""description"":""Version of the packaged software (org.opencontainers.image.version)."",""example"":""1.0.0""},{""name"":""created"",""type"":""String"",""displayName"":""Created timestamp"",""description"":""Date and time the image was built in RFC 3339 format. If 'now', uses the current time."",""example"":""2024-01-15T10:30:00Z""},{""name"":""revision"",""type"":""String"",""displayName"":""Revision"",""description"":""Source control revision identifier for the packaged software (org.opencontainers.image.revision)."",""example"":""abc123def456""},{""name"":""source"",""type"":""String"",""displayName"":""Source URL"",""description"":""URL to get source code for building the image (org.opencontainers.image.source)."",""example"":""https://github.com/myorg/myapp""},{""name"":""url"",""type"":""String"",""displayName"":""Documentation URL"",""description"":""URL to find more information about the image (org.opencontainers.image.url)."",""example"":""https://myapp.example.com""},{""name"":""vendor"",""type"":""String"",""displayName"":""Vendor"",""description"":""Name of the distributing entity, organization, or individual (org.opencontainers.image.vendor)."",""example"":""My Organization""},{""name"":""licenses"",""type"":""String"",""displayName"":""Licenses"",""description"":""License(s) under which contained software is distributed as a SPDX License Expression (org.opencontainers.image.licenses)."",""example"":""Apache-2.0""},{""name"":""authors"",""type"":""String"",""displayName"":""Authors"",""description"":""Contact details of the people or organization responsible (org.opencontainers.image.authors)."",""example"":""maintainers@example.com""}]",
maven,org.openrewrite:rewrite-docker,org.openrewrite.docker.AddOrUpdateLabel,Add Docker LABEL instruction,"Adds or updates a LABEL instruction in a Dockerfile. By default, adds to the final stage only.",1,,Docker,,Recipes to perform [Docker](https://docker.com/) migration tasks.,"[{""name"":""key"",""type"":""String"",""displayName"":""Label key"",""description"":""The key of the label to add."",""example"":""org.opencontainers.image.version"",""required"":true},{""name"":""value"",""type"":""String"",""displayName"":""Label value"",""description"":""The value of the label."",""example"":""1.0.0"",""required"":true},{""name"":""overwriteExisting"",""type"":""Boolean"",""displayName"":""Overwrite existing"",""description"":""If true, overwrite the label if it already exists. If false, skip if exists. Defaults to true.""},{""name"":""stageName"",""type"":""String"",""displayName"":""Stage name"",""description"":""Only add the label to this build stage. If null, adds to the final stage only."",""example"":""final""}]",
maven,org.openrewrite:rewrite-docker,org.openrewrite.docker.AddUserInstruction,Add `USER` instruction,"Adds a `USER` instruction to run the container as a non-root user (CIS Docker Benchmark 4.1). By default, adds to the final stage only and skips if a `USER` instruction already exists.",1,,Docker,,Recipes to perform [Docker](https://docker.com/) migration tasks.,"[{""name"":""userName"",""type"":""String"",""displayName"":""User name"",""description"":""The username to run as."",""example"":""appuser"",""required"":true},{""name"":""groupName"",""type"":""String"",""displayName"":""Group name"",""description"":""The group name. If specified, the USER instruction will be `USER user:group`."",""example"":""appgroup""},{""name"":""stageName"",""type"":""String"",""displayName"":""Stage name"",""description"":""Only add the USER instruction to this build stage. If null, adds to the final stage only."",""example"":""final""},{""name"":""skipIfUserExists"",""type"":""Boolean"",""displayName"":""Skip if user exists"",""description"":""If true (default), skip adding USER if the stage already has a USER instruction. If false, always add the USER instruction at the end of the stage.""}]",
maven,org.openrewrite:rewrite-docker,org.openrewrite.docker.ChangeFrom,Change Docker FROM,Change the base image in a Dockerfile FROM instruction.,1,,Docker,,Recipes to perform [Docker](https://docker.com/) migration tasks.,"[{""name"":""oldImageName"",""type"":""String"",""displayName"":""Old image name"",""description"":""Glob pattern to match image names (without tag/digest)."",""example"":""ubuntu"",""required"":true},{""name"":""oldTag"",""type"":""String"",""displayName"":""Old tag"",""description"":""Only match images with tags matching this glob pattern. If null, matches any tag or no tag."",""example"":""20.*""},{""name"":""oldDigest"",""type"":""String"",""displayName"":""Old digest"",""description"":""Only match images with digests matching this glob pattern. If null, matches any digest or no digest."",""example"":""sha256:*""},{""name"":""oldPlatform"",""type"":""String"",""displayName"":""Old platform"",""description"":""Only change images with this platform. If null, matches any platform."",""example"":""linux/amd64""},{""name"":""newImageName"",""type"":""String"",""displayName"":""New image name"",""description"":""The new image name. If null, preserves the existing name."",""example"":""ubuntu""},{""name"":""newTag"",""type"":""String"",""displayName"":""New tag"",""description"":""The new tag. If null, preserves the existing tag. If empty, removes the tag."",""example"":""22.04""},{""name"":""newDigest"",""type"":""String"",""displayName"":""New digest"",""description"":""The new digest. If null, preserves the existing digest. If empty, removes the digest."",""example"":""sha256:abc123...""},{""name"":""newPlatform"",""type"":""String"",""displayName"":""New platform"",""description"":""The new platform. If null, preserves the existing platform. If empty, removes the platform flag."",""example"":""linux/arm64""}]",
maven,org.openrewrite:rewrite-docker,org.openrewrite.docker.CombineRunInstructions,Combine consecutive `RUN` instructions,Combines consecutive `RUN` instructions into a single instruction to reduce image layers. Only shell form `RUN` instructions without flags are combined.,1,,Docker,,Recipes to perform [Docker](https://docker.com/) migration tasks.,"[{""name"":""separator"",""type"":""String"",""displayName"":""Separator"",""description"":""The separator to use between combined commands. Defaults to ' && '."",""example"":"" && ""}]",
maven,org.openrewrite:rewrite-docker,org.openrewrite.docker.NormalizeDockerHubImageName,Normalize Docker Hub image names,Normalizes Docker Hub image names to their canonical short form by removing redundant registry prefixes like `docker.io/library/` or `index.docker.io/`.,1,,Docker,,Recipes to perform [Docker](https://docker.com/) migration tasks.,,
maven,org.openrewrite:rewrite-docker,org.openrewrite.docker.ReplaceAddWithCopy,Replace `ADD` with `COPY`,Replaces `ADD` instructions with `COPY` where appropriate. `ADD` is only kept when the source is a URL or a tar archive that should be auto-extracted. Using `COPY` is preferred for transparency (CIS Docker Benchmark 4.9).,1,,Docker,,Recipes to perform [Docker](https://docker.com/) migration tasks.,,
maven,org.openrewrite:rewrite-docker,org.openrewrite.docker.UseExecFormEntrypoint,Use exec form for `ENTRYPOINT` and `CMD`,"Converts shell form `ENTRYPOINT` and `CMD` instructions to exec form (JSON array). Exec form is preferred because it runs the command as PID 1, allowing it to receive Unix signals properly. Shell form wraps commands in `/bin/sh -c` which can cause signal handling issues.",1,,Docker,,Recipes to perform [Docker](https://docker.com/) migration tasks.,"[{""name"":""convertEntrypoint"",""type"":""Boolean"",""displayName"":""Convert ENTRYPOINT"",""description"":""Whether to convert ENTRYPOINT instructions. Defaults to true.""},{""name"":""convertCmd"",""type"":""Boolean"",""displayName"":""Convert CMD"",""description"":""Whether to convert CMD instructions. Defaults to true.""}]",
maven,org.openrewrite:rewrite-docker,org.openrewrite.docker.DockerBestPractices,Apply Docker best practices,"Apply a set of Docker best practices to Dockerfiles. This recipe applies security hardening, build optimization, and maintainability improvements based on CIS Docker Benchmark and industry best practices.",25,,Docker,,Recipes to perform [Docker](https://docker.com/) migration tasks.,,"[{""name"":""org.openrewrite.docker.table.EolDockerImages"",""displayName"":""End-of-life Docker images"",""description"":""Records Docker base images that have reached end-of-life."",""columns"":[{""name"":""sourceFile"",""type"":""String"",""displayName"":""Source file"",""description"":""The Dockerfile containing the EOL base image.""},{""name"":""stageName"",""type"":""String"",""displayName"":""Stage name"",""description"":""The build stage name (from AS clause), if specified.""},{""name"":""imageName"",""type"":""String"",""displayName"":""Image name"",""description"":""The name of the base image.""},{""name"":""tag"",""type"":""String"",""displayName"":""Tag"",""description"":""The image tag.""},{""name"":""eolDate"",""type"":""String"",""displayName"":""EOL date"",""description"":""The date when the image reached end-of-life.""},{""name"":""suggestedReplacement"",""type"":""String"",""displayName"":""Suggested replacement"",""description"":""Recommended newer version to migrate to.""}]}]"
maven,org.openrewrite:rewrite-docker,org.openrewrite.docker.DockerSecurityBestPractices,Apply Docker security best practices,Apply security-focused Docker best practices to Dockerfiles. This includes running as a non-root user (CIS 4.1) and using COPY instead of ADD where appropriate (CIS 4.9).,13,,Docker,,Recipes to perform [Docker](https://docker.com/) migration tasks.,,"[{""name"":""org.openrewrite.docker.table.EolDockerImages"",""displayName"":""End-of-life Docker images"",""description"":""Records Docker base images that have reached end-of-life."",""columns"":[{""name"":""sourceFile"",""type"":""String"",""displayName"":""Source file"",""description"":""The Dockerfile containing the EOL base image.""},{""name"":""stageName"",""type"":""String"",""displayName"":""Stage name"",""description"":""The build stage name (from AS clause), if specified.""},{""name"":""imageName"",""type"":""String"",""displayName"":""Image name"",""description"":""The name of the base image.""},{""name"":""tag"",""type"":""String"",""displayName"":""Tag"",""description"":""The image tag.""},{""name"":""eolDate"",""type"":""String"",""displayName"":""EOL date"",""description"":""The date when the image reached end-of-life.""},{""name"":""suggestedReplacement"",""type"":""String"",""displayName"":""Suggested replacement"",""description"":""Recommended newer version to migrate to.""}]}]"
maven,org.openrewrite:rewrite-docker,org.openrewrite.docker.DockerBuildOptimization,Optimize Docker builds,Apply build optimization best practices to Dockerfiles. This includes combining RUN instructions to reduce layers and adding cleanup commands to reduce image size.,5,,Docker,,Recipes to perform [Docker](https://docker.com/) migration tasks.,,
maven,org.openrewrite:rewrite-docker,org.openrewrite.docker.search.FindBaseImages,Find Docker base images,Find all base images (`FROM` instructions) in Dockerfiles.,1,Search,Docker,,Recipes to perform [Docker](https://docker.com/) migration tasks.,"[{""name"":""imageNamePattern"",""type"":""String"",""displayName"":""Image name pattern"",""description"":""A glob pattern to match against base image names. If not specified, all base images are matched."",""example"":""ubuntu*""},{""name"":""tagPattern"",""type"":""String"",""displayName"":""Tag pattern"",""description"":""A glob pattern to match against image tags. If not specified, all tags are matched."",""example"":""20.*""},{""name"":""digestPattern"",""type"":""String"",""displayName"":""Digest pattern"",""description"":""A glob pattern to match against image digests. If not specified, all digests are matched."",""example"":""sha256:*""},{""name"":""platformPattern"",""type"":""String"",""displayName"":""Platform pattern"",""description"":""A glob pattern to match against platform flags. If not specified, all platforms are matched."",""example"":""linux/amd64""}]","[{""name"":""org.openrewrite.docker.table.BaseImages"",""displayName"":""Docker base images"",""description"":""Records the base images found in Dockerfiles."",""columns"":[{""name"":""sourceFile"",""type"":""String"",""displayName"":""Source file"",""description"":""The Dockerfile containing the base image.""},{""name"":""stageName"",""type"":""String"",""displayName"":""Stage name"",""description"":""The build stage name (from AS clause), if specified.""},{""name"":""imageName"",""type"":""String"",""displayName"":""Image name"",""description"":""The name of the base image (without tag or digest).""},{""name"":""tag"",""type"":""String"",""displayName"":""Tag"",""description"":""The image tag, if specified.""},{""name"":""digest"",""type"":""String"",""displayName"":""Digest"",""description"":""The image digest, if specified.""},{""name"":""platform"",""type"":""String"",""displayName"":""Platform"",""description"":""The platform flag value, if specified.""}]}]"
maven,org.openrewrite:rewrite-docker,org.openrewrite.docker.search.FindEndOfLifeImages,Find end-of-life Docker base images,"Identifies Docker base images that have reached end-of-life. Using EOL images poses security risks as they no longer receive security updates. Detected images include EOL versions of Debian, Ubuntu, Alpine, Python, and Node.js.",1,Search,Docker,,Recipes to perform [Docker](https://docker.com/) migration tasks.,"[{""name"":""includeApproaching"",""type"":""Boolean"",""displayName"":""Include approaching EOL"",""description"":""If true, also flag images that will reach EOL within the next 6 months."",""example"":""true""}]","[{""name"":""org.openrewrite.docker.table.EolDockerImages"",""displayName"":""End-of-life Docker images"",""description"":""Records Docker base images that have reached end-of-life."",""columns"":[{""name"":""sourceFile"",""type"":""String"",""displayName"":""Source file"",""description"":""The Dockerfile containing the EOL base image.""},{""name"":""stageName"",""type"":""String"",""displayName"":""Stage name"",""description"":""The build stage name (from AS clause), if specified.""},{""name"":""imageName"",""type"":""String"",""displayName"":""Image name"",""description"":""The name of the base image.""},{""name"":""tag"",""type"":""String"",""displayName"":""Tag"",""description"":""The image tag.""},{""name"":""eolDate"",""type"":""String"",""displayName"":""EOL date"",""description"":""The date when the image reached end-of-life.""},{""name"":""suggestedReplacement"",""type"":""String"",""displayName"":""Suggested replacement"",""description"":""Recommended newer version to migrate to.""}]}]"
maven,org.openrewrite:rewrite-docker,org.openrewrite.docker.search.FindExposedPorts,Find exposed ports,Find all `EXPOSE` instructions in Dockerfiles and report the exposed ports.,1,Search,Docker,,Recipes to perform [Docker](https://docker.com/) migration tasks.,"[{""name"":""portPattern"",""type"":""String"",""displayName"":""Port pattern"",""description"":""A glob pattern to filter ports. For example, '80*' to find ports starting with 80. If not specified, all `EXPOSE` instructions are matched."",""example"":""80*""}]","[{""name"":""org.openrewrite.docker.table.ExposedPorts"",""displayName"":""Docker exposed ports"",""description"":""Records all ports exposed in EXPOSE instructions in Dockerfiles."",""columns"":[{""name"":""sourceFile"",""type"":""String"",""displayName"":""Source file"",""description"":""The Dockerfile containing the EXPOSE instruction.""},{""name"":""stageName"",""type"":""String"",""displayName"":""Stage name"",""description"":""The build stage name if the EXPOSE is in a named stage.""},{""name"":""port"",""type"":""String"",""displayName"":""Port"",""description"":""The port number or range (e.g., '80' or '8000-8100').""},{""name"":""protocol"",""type"":""String"",""displayName"":""Protocol"",""description"":""The protocol if specified (tcp or udp), null if not specified.""}]}]"
maven,org.openrewrite:rewrite-docker,org.openrewrite.docker.search.FindMissingHealthcheck,Find missing `HEALTHCHECK`,Finds Dockerfiles where the final stage is missing a `HEALTHCHECK` instruction (CIS Docker Benchmark 4.6). Health checks help container orchestrators determine if a container is healthy and ready to receive traffic.,1,Search,Docker,,Recipes to perform [Docker](https://docker.com/) migration tasks.,,
maven,org.openrewrite:rewrite-docker,org.openrewrite.docker.search.FindRootUser,Find containers running as root,"Finds containers that run as root user (CIS Docker Benchmark 4.1). This includes explicit `USER root` or `USER 0` instructions, and optionally containers with no `USER` instruction in the final stage (which default to root).",1,Search,Docker,,Recipes to perform [Docker](https://docker.com/) migration tasks.,"[{""name"":""includeMissingUser"",""type"":""Boolean"",""displayName"":""Include missing `USER`"",""description"":""When true, also marks the final stage if no USER instruction is present (defaults to root). When false, only marks explicit `USER root/0` instructions.""}]",
maven,org.openrewrite:rewrite-docker,org.openrewrite.docker.search.FindUnpinnedBaseImages,Find unpinned base images,"Finds FROM instructions that use unpinned base images (CIS Docker Benchmark 4.2). Images without an explicit tag default to 'latest', which is not reproducible. Images pinned by digest are considered acceptable.",1,Search,Docker,,Recipes to perform [Docker](https://docker.com/) migration tasks.,,
