version,gradlew,gradlewBatTemplate
9.3.0-20251015002136+0000,58fa5370,59596926
9.2.0-rc-1,58fa5370,59596926
9.2.0-milestone-2,58fa5370,59596926
9.2.0-milestone-1,58fa5370,59596926
9.2.0-20251014014930+0000,58fa5370,59596926
9.1.0,665958e3,9af86e4b
9.1.0-rc-4,58fa5370,59596926
9.1.0-rc-3,58fa5370,59596926
9.1.0-rc-2,58fa5370,59596926
9.1.0-rc-1,58fa5370,59596926
9.0.0,665958e3,a43e7a0f
9.0.0-rc-4,58fa5370,8fa374ea
9.0.0-rc-3,58fa5370,8fa374ea
9.0.0-rc-2,58fa5370,8fa374ea
9.0.0-rc-1,58fa5370,8fa374ea
9.0.0-milestone-9,58fa5370,8fa374ea
9.0.0-milestone-8,58fa5370,8fa374ea
9.0.0-milestone-10,58fa5370,8fa374ea
9.0-milestone-2,58fa5370,8fa374ea
9.0-milestone-1,95415462,8fa374ea
9.0-milestone-6,58fa5370,8fa374ea
9.0-milestone-5,58fa5370,8fa374ea
9.0-milestone-4,58fa5370,8fa374ea
9.0-milestone-3,58fa5370,8fa374ea
9.0-milestone-7,58fa5370,8fa374ea
8.14.3,b67a59d5,a43e7a0f
8.14.2,b67a59d5,a43e7a0f
8.14.1,b67a59d5,a43e7a0f
8.14,b67a59d5,a43e7a0f
8.14-rc-3,7d965ddb,b4858113
8.14-rc-2,7d965ddb,b4858113
8.14-rc-1,7d965ddb,b4858113
8.14-milestone-5,7d965ddb,b4858113
8.14-milestone-7,7d965ddb,b4858113
8.14-milestone-8,7d965ddb,b4858113
8.14-milestone-1,7d965ddb,b4858113
8.14-milestone-2,7d965ddb,b4858113
8.14-milestone-3,7d965ddb,b4858113
8.14-milestone-4,7d965ddb,b4858113
8.13,611e634e,5e608638
8.13-rc-1,7d965ddb,b4858113
8.13-rc-2,7d965ddb,b4858113
8.13-milestone-1,543760ee,b4858113
8.13-milestone-3,543760ee,b4858113
8.13-milestone-2,543760ee,b4858113
8.12.1,73b06661,5e608638
8.12.1-milestone-1,543760ee,b4858113
8.12,73b06661,5e608638
8.12-rc-1,543760ee,b4858113
8.12-rc-2,543760ee,b4858113
8.11.1,91c665a1,5e608638
8.11,91c665a1,5e608638
8.11-rc-1,820d602e,b4858113
8.11-rc-2,820d602e,b4858113
8.11-rc-3,820d602e,b4858113
8.11-milestone-1,820d602e,b4858113
8.10.2,91c665a1,5e608638
8.10.2-milestone-1,820d602e,b4858113
8.10.1,91c665a1,5e608638
8.10,91c665a1,5e608638
8.10-rc-1,820d602e,b4858113
8.9,91c665a1,5e608638
8.9-rc-1,820d602e,b4858113
8.9-rc-2,820d602e,b4858113
8.8,b26355a4,937e772a
8.8-rc-2,f27a5031,7cb7205
8.8-rc-1,f27a5031,7cb7205
8.7,c8e85043,937e772a
8.7-rc-2,7a034ad0,7cb7205
8.7-rc-3,7a034ad0,7cb7205
8.7-rc-1,7a034ad0,7cb7205
8.7-rc-4,7a034ad0,7cb7205
8.6,c8e85043,937e772a
8.6-rc-4,7a034ad0,7cb7205
8.6-rc-3,7a034ad0,7cb7205
8.6-rc-2,7a034ad0,7cb7205
8.6-rc-1,7a034ad0,7cb7205
8.6-milestone-1,7a034ad0,7cb7205
8.5,c8e85043,d0586e24
8.5-rc-1,7a034ad0,45ee68ff
8.5-rc-2,7a034ad0,45ee68ff
8.5-rc-3,7a034ad0,45ee68ff
8.5-rc-4,7a034ad0,45ee68ff
8.4,c8e85043,d0586e24
8.4-rc-3,7a034ad0,45ee68ff
8.4-rc-2,7a034ad0,45ee68ff
8.4-rc-1,7a034ad0,45ee68ff
8.3,a55b3fad,d0586e24
8.3-rc-3,6caa3a3a,45ee68ff
8.3-rc-2,6caa3a3a,45ee68ff
8.3-rc-1,6caa3a3a,45ee68ff
8.3-rc-4,6caa3a3a,45ee68ff
8.2.1,8da11a32,d0586e24
8.2,8da11a32,d0586e24
8.2-rc-1,683414bf,45ee68ff
8.2-rc-2,683414bf,45ee68ff
8.2-rc-3,683414bf,45ee68ff
8.2-milestone-1,683414bf,45ee68ff
8.1.1,1ff2140f,d0586e24
8.1,1ff2140f,d0586e24
8.1-rc-3,7b640e9c,45ee68ff
8.1-rc-2,7b640e9c,45ee68ff
8.1-rc-4,7b640e9c,45ee68ff
8.1-rc-1,7b640e9c,45ee68ff
8.0.2,4bb41405,d0586e24
8.0.1,4bb41405,d0586e24
