ecosystem,packageName,name,displayName,description,recipeCount,category1,category2,options
maven,org.openrewrite:rewrite-hcl,org.openrewrite.hcl.DeleteContent,Delete content,Delete HCL content by path.,1,,Hcl,"[{""name"":""contentPath"",""type"":""String"",""displayName"":""Content path"",""description"":""A JSONPath expression specifying the block to delete."",""example"":""$.provider"",""required"":true}]"
maven,org.openrewrite:rewrite-hcl,org.openrewrite.hcl.ReplaceLegacyAttributeIndexSyntax,Replace legacy attribute index syntax,Replace legacy attribute index syntax (`.0`) with the new syntax (`[0]`).,1,,Hcl,
maven,org.openrewrite:rewrite-hcl,org.openrewrite.hcl.MoveContentToFile,Move content to another file,"Move content to another HCL file, deleting it in the original file.",1,,Hcl,"[{""name"":""contentPath"",""type"":""String"",""displayName"":""Content path"",""description"":""A JSONPath expression specifying the block to move."",""example"":""$.provider"",""required"":true},{""name"":""fromPath"",""type"":""String"",""displayName"":""From path"",""description"":""The source path of the file from which content is being moved."",""example"":""from.tf"",""required"":true},{""name"":""destinationPath"",""type"":""String"",""displayName"":""To path"",""description"":""The source path of the file to move the content to."",""example"":""to.tf"",""required"":true}]"
maven,org.openrewrite:rewrite-hcl,org.openrewrite.hcl.format.AutoFormat,Format HCL code,Format HCL code using a standard comprehensive set of HCL formatting recipes.,1,Format,Hcl,
maven,org.openrewrite:rewrite-hcl,org.openrewrite.hcl.format.BlankLines,Blank lines,Add and/or remove blank lines.,1,Format,Hcl,
maven,org.openrewrite:rewrite-hcl,org.openrewrite.hcl.format.NormalizeFormat,Normalize format,Move whitespace to the outermost LST element possible.,1,Format,Hcl,
maven,org.openrewrite:rewrite-hcl,org.openrewrite.hcl.format.RemoveTrailingWhitespace,Remove trailing whitespace,Remove any extra trailing whitespace from the end of each line.,1,Format,Hcl,
maven,org.openrewrite:rewrite-hcl,org.openrewrite.hcl.format.Spaces,Spaces,Format whitespace in HCL code.,1,Format,Hcl,
maven,org.openrewrite:rewrite-hcl,org.openrewrite.hcl.format.TabsAndIndents,Tabs and indents,Format tabs and indents in HCL code.,1,Format,Hcl,
maven,org.openrewrite:rewrite-hcl,org.openrewrite.hcl.search.FindAndReplaceLiteral,Find and replace literals in HCL files,"Find and replace literal values in HCL files. This recipe parses the source files on which it runs as HCL, meaning you can execute HCL language-specific recipes before and after this recipe in a single recipe run.",1,Search,Hcl,"[{""name"":""find"",""type"":""String"",""displayName"":""Find"",""description"":""The literal to find (and replace)"",""example"":""blacklist"",""required"":true},{""name"":""replace"",""type"":""String"",""displayName"":""Replace"",""description"":""The replacement literal for `find`. This snippet can be multiline."",""example"":""denylist""},{""name"":""regex"",""type"":""Boolean"",""displayName"":""Regex"",""description"":""Default false. If true, `find` will be interpreted as a Regular Expression, and capture group contents will be available in `replace`.""},{""name"":""caseSensitive"",""type"":""Boolean"",""displayName"":""Case sensitive"",""description"":""If `true` the search will be sensitive to case. Default `false`.""}]"
maven,org.openrewrite:rewrite-hcl,org.openrewrite.hcl.search.FindContent,Find content,Find HCL content by path.,1,Search,Hcl,"[{""name"":""contentPath"",""type"":""String"",""displayName"":""Content path"",""description"":""A JSONPath expression specifying the block to find."",""example"":""$.provider"",""required"":true}]"
