ecosystem,packageName,name,displayName,description,recipeCount,category1,category2,category1Description,category2Description,options,dataTables
maven,org.openrewrite:rewrite-java,org.openrewrite.java.AddCommentToImport,Add comment to import statement,Add a comment to an import statement in a Java source file.,1,,Java,,Basic building blocks for transforming Java code.,"[{""name"":""comment"",""type"":""String"",""displayName"":""Comment"",""description"":""The comment to add."",""example"":""This is a comment."",""required"":true},{""name"":""typePattern"",""type"":""String"",""displayName"":""Type pattern"",""description"":""A type pattern that is used to find matching imports uses."",""example"":""org.springframework..*"",""required"":true}]",
maven,org.openrewrite:rewrite-java,org.openrewrite.java.AddCommentToMethod,Add comment to method declarations,Add a comment to method declarations in a Java source file.,1,,Java,,Basic building blocks for transforming Java code.,"[{""name"":""comment"",""type"":""String"",""displayName"":""Comment"",""description"":""The comment to add."",""example"":""This is a comment."",""required"":true},{""name"":""methodPattern"",""type"":""String"",""displayName"":""Method pattern"",""description"":""A pattern to match methods to add the comment to. A [method pattern](https://docs.openrewrite.org/reference/method-patterns) is used to find matching method declarations. For example, to find all method declarations in the Guava library, use the pattern: `com.google.common..*#*(..)`.<br/><br/>The pattern format is `<PACKAGE>#<METHOD_NAME>(<ARGS>)`. <br/><br/>`..*` includes all subpackages of `com.google.common`. <br/>`*(..)` matches any method name with any number of arguments. <br/><br/>For more specific queries, like Guava's `ImmutableMap`, use `com.google.common.collect.ImmutableMap#*(..)` to narrow down the results."",""example"":""java.util.List add*(..)"",""required"":true},{""name"":""isMultiline"",""type"":""Boolean"",""displayName"":""Multiline"",""description"":""Comments use by default single line // but they can use multiline /* */.""}]",
maven,org.openrewrite:rewrite-java,org.openrewrite.java.AddCommentToMethodInvocations,Add comment to method invocations,Add a comment to method invocations in a Java source file.,1,,Java,,Basic building blocks for transforming Java code.,"[{""name"":""comment"",""type"":""String"",""displayName"":""Comment"",""description"":""The comment to add."",""example"":""This is a comment."",""required"":true},{""name"":""methodPattern"",""type"":""String"",""displayName"":""Method pattern"",""description"":""A pattern to match methods to add the comment to. A [method pattern](https://docs.openrewrite.org/reference/method-patterns) is used to find matching method invocations. For example, to find all method invocations in the Guava library, use the pattern: `com.google.common..*#*(..)`.<br/><br/>The pattern format is `<PACKAGE>#<METHOD_NAME>(<ARGS>)`. <br/><br/>`..*` includes all subpackages of `com.google.common`. <br/>`*(..)` matches any method name with any number of arguments. <br/><br/>For more specific queries, like Guava's `ImmutableMap`, use `com.google.common.collect.ImmutableMap#*(..)` to narrow down the results."",""example"":""java.util.List add*(..)"",""required"":true}]",
maven,org.openrewrite:rewrite-java,org.openrewrite.java.AddLicenseHeader,Add license header,Adds license headers to Java source files when missing. Does not override existing license headers.,1,,Java,,Basic building blocks for transforming Java code.,"[{""name"":""licenseText"",""type"":""String"",""displayName"":""License text"",""description"":""The license header text without the block comment. May contain ${CURRENT_YEAR} property."",""example"":""Copyright ${CURRENT_YEAR} the original author or authors..."",""required"":true}]",
maven,org.openrewrite:rewrite-java,org.openrewrite.java.AddLiteralMethodArgument,Add a literal method argument,Add a literal `String` or primitive argument to method invocations.,1,,Java,,Basic building blocks for transforming Java code.,"[{""name"":""methodPattern"",""type"":""String"",""displayName"":""Method pattern"",""description"":""A [method pattern](https://docs.openrewrite.org/reference/method-patterns) is used to find matching method invocations. For example, to find all method invocations in the Guava library, use the pattern: `com.google.common..*#*(..)`.<br/><br/>The pattern format is `<PACKAGE>#<METHOD_NAME>(<ARGS>)`. <br/><br/>`..*` includes all subpackages of `com.google.common`. <br/>`*(..)` matches any method name with any number of arguments. <br/><br/>For more specific queries, like Guava's `ImmutableMap`, use `com.google.common.collect.ImmutableMap#*(..)` to narrow down the results."",""example"":""com.yourorg.A foo(int, int)"",""required"":true},{""name"":""argumentIndex"",""type"":""int"",""displayName"":""Argument index"",""description"":""A zero-based index indicating where to insert the new argument."",""example"":""0"",""required"":true,""value"":0},{""name"":""literal"",""type"":""Object"",""displayName"":""Literal"",""description"":""The literal value to add as an argument."",""example"":""abc"",""required"":true},{""name"":""primitiveType"",""type"":""String"",""displayName"":""Parameter type"",""description"":""The parameter type for the added argument. Defaults to `String`."",""example"":""String"",""valid"":[""String"",""int"",""short"",""long"",""float"",""double"",""boolean"",""char""]}]",
maven,org.openrewrite:rewrite-java,org.openrewrite.java.AddMethodParameter,Add method parameter to a method declaration,Adds a new method parameter to an existing method declaration.,1,,Java,,Basic building blocks for transforming Java code.,"[{""name"":""methodPattern"",""type"":""String"",""displayName"":""Method pattern"",""description"":""A method pattern that is used to find the method declarations to modify."",""example"":""com.yourorg.A foo(int, int)"",""required"":true},{""name"":""parameterType"",""type"":""String"",""displayName"":""Parameter type"",""description"":""The type of the parameter that gets added."",""example"":""java.lang.String"",""required"":true},{""name"":""parameterName"",""type"":""String"",""displayName"":""Parameter name"",""description"":""The name of the parameter that gets added."",""example"":""name"",""required"":true},{""name"":""parameterIndex"",""type"":""Integer"",""displayName"":""Parameter index"",""description"":""A zero-based index that indicates the position at which the parameter will be added. At the end by default."",""example"":""0""}]",
maven,org.openrewrite:rewrite-java,org.openrewrite.java.AddNullMethodArgument,Add a `null` method argument,Add a `null` argument to method invocations.,1,,Java,,Basic building blocks for transforming Java code.,"[{""name"":""methodPattern"",""type"":""String"",""displayName"":""Method pattern"",""description"":""A [method pattern](https://docs.openrewrite.org/reference/method-patterns) is used to find matching method invocations. For example, to find all method invocations in the Guava library, use the pattern: `com.google.common..*#*(..)`.<br/><br/>The pattern format is `<PACKAGE>#<METHOD_NAME>(<ARGS>)`. <br/><br/>`..*` includes all subpackages of `com.google.common`. <br/>`*(..)` matches any method name with any number of arguments. <br/><br/>For more specific queries, like Guava's `ImmutableMap`, use `com.google.common.collect.ImmutableMap#*(..)` to narrow down the results."",""example"":""com.yourorg.A foo(int, int)"",""required"":true},{""name"":""argumentIndex"",""type"":""int"",""displayName"":""Argument index"",""description"":""A zero-based index that indicates which argument will be added as null to the method invocation."",""example"":""0"",""required"":true,""value"":0},{""name"":""parameterType"",""type"":""String"",""displayName"":""Parameter type"",""description"":""The type of the parameter that we add the argument for."",""example"":""java.lang.String"",""required"":true},{""name"":""parameterName"",""type"":""String"",""displayName"":""Parameter name"",""description"":""The name of the parameter that we add the argument for."",""example"":""name""},{""name"":""explicitCast"",""type"":""Boolean"",""displayName"":""Explicit cast"",""description"":""Explicitly cast the argument to the parameter type. Useful if the method is overridden with another type."",""example"":""true""}]",
maven,org.openrewrite:rewrite-java,org.openrewrite.java.AddOrUpdateAnnotationAttribute,Add or update annotation attribute,"Some annotations accept arguments. This recipe sets an existing argument to the specified value, or adds the argument if it is not already set.",1,,Java,,Basic building blocks for transforming Java code.,"[{""name"":""annotationType"",""type"":""String"",""displayName"":""Annotation type"",""description"":""The fully qualified name of the annotation."",""example"":""org.junit.Test"",""required"":true},{""name"":""attributeName"",""type"":""String"",""displayName"":""Attribute name"",""description"":""The name of attribute to change. If omitted defaults to 'value'."",""example"":""timeout""},{""name"":""attributeValue"",""type"":""String"",""displayName"":""Attribute value"",""description"":""The value to set the attribute to. If the attribute is an array, provide values separated by comma to add multiple attributes at once. Set to `null` to remove the attribute."",""example"":""500""},{""name"":""oldAttributeValue"",""type"":""String"",""displayName"":""Old Attribute value"",""description"":""The current value of the attribute, this can be used to filter where the change is applied. Set to `null` for wildcard behavior."",""example"":""400""},{""name"":""addOnly"",""type"":""Boolean"",""displayName"":""Add only"",""description"":""If `true`, disables upgrading existing annotation attribute values, thus the recipe will only add the attribute if it does not already exist. If omitted or `false`, the recipe adds the attribute if missing or updates its value if present.""},{""name"":""appendArray"",""type"":""Boolean"",""displayName"":""Append array"",""description"":""If the attribute is an array and attribute is present, setting this option to `true` will append the value(s). Duplicate values will not be added. If omitted or `false`, the recipe will replace the existing value(s) with the new value(s).""}]",
maven,org.openrewrite:rewrite-java,org.openrewrite.java.ChangeAnnotationAttributeName,Change annotation attribute name,Some annotations accept arguments. This recipe renames an existing attribute.,1,,Java,,Basic building blocks for transforming Java code.,"[{""name"":""annotationType"",""type"":""String"",""displayName"":""Annotation Type"",""description"":""The fully qualified name of the annotation."",""example"":""org.junit.Test"",""required"":true},{""name"":""oldAttributeName"",""type"":""String"",""displayName"":""Old attribute name"",""description"":""The name of attribute to change."",""example"":""timeout"",""required"":true},{""name"":""newAttributeName"",""type"":""String"",""displayName"":""New attribute name"",""description"":""The new attribute name to use."",""example"":""waitFor"",""required"":true}]",
maven,org.openrewrite:rewrite-java,org.openrewrite.java.ChangeMethodAccessLevel,Change method access level,"Change the access level (public, protected, private, package private) of a method.",1,,Java,,Basic building blocks for transforming Java code.,"[{""name"":""methodPattern"",""type"":""String"",""displayName"":""Method pattern"",""description"":""A [method pattern](https://docs.openrewrite.org/reference/method-patterns) is used to find matching method invocations. For example, to find all method invocations in the Guava library, use the pattern: `com.google.common..*#*(..)`.<br/><br/>The pattern format is `<PACKAGE>#<METHOD_NAME>(<ARGS>)`. <br/><br/>`..*` includes all subpackages of `com.google.common`. <br/>`*(..)` matches any method name with any number of arguments. <br/><br/>For more specific queries, like Guava's `ImmutableMap`, use `com.google.common.collect.ImmutableMap#*(..)` to narrow down the results."",""example"":""org.mockito.Matchers anyVararg()"",""required"":true},{""name"":""newAccessLevel"",""type"":""String"",""displayName"":""New access level"",""description"":""New method access level to apply to the method."",""example"":""public"",""valid"":[""private"",""protected"",""package"",""public""],""required"":true},{""name"":""matchOverrides"",""type"":""Boolean"",""displayName"":""Match on overrides"",""description"":""When enabled, find methods that are overrides of the method pattern.""}]",
