"package","type","subtypes","name","signature","ext","input","output","kind","provenance"
"java.lang","String",false,"replace","","","Argument[-1]","ReturnValue","taint","manual"
"java.lang","String",false,"replace","","","Argument[1]","ReturnValue","taint","manual"
"java.lang","String",false,"replaceAll","","","Argument[-1]","ReturnValue","taint","manual"
"java.lang","String",false,"replaceAll","","","Argument[1]","ReturnValue","taint","manual"
"java.lang","String",false,"toString","","","Argument[-1]","ReturnValue","value","manual"
"java.lang","String",false,"join","","","Argument[0..1]","ReturnValue","taint","manual"
"java.lang","String",false,"valueOf","(char)","","Argument[0]","ReturnValue","taint","manual"
"java.lang","String",false,"valueOf","(char[])","","Argument[0]","ReturnValue","taint","manual"
"java.lang","String",false,"valueOf","(char[],int,int)","","Argument[0]","ReturnValue","taint","manual"
"java.lang","String",false,"concat","(String)","","Argument[-1]","ReturnValue","taint","manual"
"java.lang","String",false,"concat","(String)","","Argument[0]","ReturnValue","taint","manual"
"java.lang","String",false,"substring","","","Argument[-1]","ReturnValue","taint","manual"
"java.lang","String",false,"indent","","","Argument[-1]","ReturnValue","taint","manual"
"java.lang","String",false,"replaceFirst","","","Argument[-1]","ReturnValue","taint","manual"
"java.lang","String",false,"replaceFirst","","","Argument[1]","ReturnValue","taint","manual"
"java.lang","String",false,"format","(String,Object[])","","Argument[0]","ReturnValue","taint","manual"
"java.lang","String",false,"format","(String,Object[])","","Argument[1].ArrayElement","ReturnValue","taint","manual"
"java.lang","String",false,"format","(Locale,String,Object[])","","Argument[1]","ReturnValue","taint","manual"
"java.lang","String",false,"format","(Locale,String,Object[])","","Argument[2].ArrayElement","ReturnValue","taint","manual"
"java.lang","String",false,"formatted","(Object[])","","Argument[-1]","ReturnValue","taint","manual"
"java.lang","String",false,"formatted","(Object[])","","Argument[0].ArrayElement","ReturnValue","taint","manual"
"java.lang","String",false,"String","","","Argument[0]","Argument[-1]","taint","manual"
"java.lang","String",false,"toLowerCase","","","Argument[-1]","ReturnValue","taint","manual"
"java.lang","String",false,"split","","","Argument[-1]","ReturnValue","taint","manual"
"java.lang","String",false,"intern","","","Argument[-1]","ReturnValue","taint","manual"
"java.lang","String",false,"trim","","","Argument[-1]","ReturnValue","taint","manual"
"java.lang","String",false,"getBytes","","","Argument[-1]","Argument[2]","taint","manual"
"java.lang","String",false,"getBytes","","","Argument[-1]","ReturnValue","taint","manual"
"java.lang","String",false,"toCharArray","","","Argument[-1]","ReturnValue","taint","manual"
"java.lang","String",false,"toUpperCase","","","Argument[-1]","ReturnValue","taint","manual"
"java.lang","String",false,"getChars","","","Argument[-1]","Argument[2]","taint","manual"
"java.lang","String",false,"repeat","(int)","","Argument[-1]","ReturnValue","taint","manual"
"java.lang","String",false,"copyValueOf","","","Argument[0]","ReturnValue","taint","manual"
"java.lang","String",false,"translateEscapes","","","Argument[-1]","ReturnValue","taint","manual"
"java.lang","String",false,"stripIndent","","","Argument[-1]","ReturnValue","taint","manual"
"java.lang","String",false,"stripTrailing","","","Argument[-1]","ReturnValue","taint","manual"
"java.lang","String",false,"stripLeading","","","Argument[-1]","ReturnValue","taint","manual"
"java.lang","String",false,"strip","","","Argument[-1]","ReturnValue","taint","manual"
"java.lang","Exception",false,"Exception","(String)","","Argument[0]","Argument[-1].SyntheticField[java.lang.Throwable.message]","value","manual"
"java.lang","Object",true,"clone","","","Argument[-1].MapKey","ReturnValue.MapKey","value","manual"
"java.lang","Object",true,"clone","","","Argument[-1].MapValue","ReturnValue.MapValue","value","manual"
"java.lang","Object",true,"clone","","","Argument[-1].Element","ReturnValue.Element","value","manual"
"java.lang","AbstractStringBuilder",true,"replace","","","Argument[2]","Argument[-1]","taint","manual"
"java.lang","AbstractStringBuilder",true,"replace","","","Argument[-1]","ReturnValue","value","manual"
"java.lang","AbstractStringBuilder",true,"toString","","","Argument[-1]","ReturnValue","taint","manual"
"java.lang","AbstractStringBuilder",true,"append","","","Argument[-1]","ReturnValue","value","manual"
"java.lang","AbstractStringBuilder",true,"append","","","Argument[0]","Argument[-1]","taint","manual"
"java.lang","AbstractStringBuilder",true,"insert","","","Argument[-1]","ReturnValue","value","manual"
"java.lang","AbstractStringBuilder",true,"insert","","","Argument[1]","Argument[-1]","taint","manual"
"java.lang","AbstractStringBuilder",true,"substring","","","Argument[-1]","ReturnValue","taint","manual"
"java.lang","AbstractStringBuilder",true,"reverse","","","Argument[-1]","ReturnValue","value","manual"
"java.lang","AbstractStringBuilder",true,"subSequence","","","Argument[-1]","ReturnValue","taint","manual"
"java.lang","AbstractStringBuilder",true,"getChars","","","Argument[-1]","Argument[2]","taint","manual"
"java.lang","AbstractStringBuilder",true,"AbstractStringBuilder","(String)","","Argument[0]","Argument[-1]","taint","manual"
"java.lang","Appendable",true,"append","","","Argument[-1]","ReturnValue","value","manual"
"java.lang","Appendable",true,"append","","","Argument[0]","Argument[-1]","taint","manual"
"java.lang","CharSequence",true,"toString","","","Argument[-1]","ReturnValue","taint","manual"
"java.lang","CharSequence",true,"subSequence","","","Argument[-1]","ReturnValue","taint","manual"
"java.lang","CharSequence",true,"charAt","","","Argument[-1]","ReturnValue","taint","manual"
"java.lang","IllegalArgumentException",false,"IllegalArgumentException","(String)","","Argument[0]","Argument[-1].SyntheticField[java.lang.Throwable.message]","value","manual"
