"package","type","subtypes","name","signature","ext","input","kind","provenance"
"java.lang","String",false,"replaceAll","(String,String)","","Argument[0]","regex-use[-1]","manual"
"java.lang","String",false,"matches","(String)","","Argument[0]","regex-use[f-1]","manual"
"java.lang","String",false,"replaceFirst","(String,String)","","Argument[0]","regex-use[-1]","manual"
"java.lang","String",false,"split","(String)","","Argument[0]","regex-use[-1]","manual"
"java.lang","String",false,"split","(String,int)","","Argument[0]","regex-use[-1]","manual"
"java.lang","System$Logger",true,"log","(Level,Object)","","Argument[1]","logging","manual"
"java.lang","System$Logger",true,"log","(Level,ResourceBundle,String,Object[])","","Argument[2..3]","logging","manual"
"java.lang","System$Logger",true,"log","(Level,ResourceBundle,String,Throwable)","","Argument[2]","logging","manual"
"java.lang","System$Logger",true,"log","(Level,String)","","Argument[1]","logging","manual"
"java.lang","System$Logger",true,"log","(Level,String,Object[])","","Argument[1..2]","logging","manual"
"java.lang","System$Logger",true,"log","(Level,String,Throwable)","","Argument[1]","logging","manual"
"java.lang","System$Logger",true,"log","(Level,String,Supplier)","","Argument[1..2]","logging","manual"
"java.lang","System$Logger",true,"log","(Level,String,Supplier,Throwable)","","Argument[1..2]","logging","manual"
"java.io","PrintStream",false,"PrintStream","(String,String)","","Argument[0]","create-file","manual"
"java.io","PrintStream",false,"PrintStream","(String)","","Argument[0]","create-file","manual"
"java.io","PrintStream",false,"PrintStream","(String,Charset)","","Argument[0]","create-file","manual"
"java.io","PrintStream",false,"PrintStream","(File,String)","","Argument[0]","create-file","manual"
"java.io","PrintStream",false,"PrintStream","(File)","","Argument[0]","create-file","manual"
"java.io","PrintStream",false,"PrintStream","(File,Charset)","","Argument[0]","create-file","manual"
"java.io","PrintStream",true,"write","","","Argument[0]","write-file","manual"
"java.io","PrintStream",true,"append","","","Argument[0]","write-file","manual"
"java.io","PrintStream",true,"print","","","Argument[0]","write-file","manual"
"java.io","PrintStream",true,"format","(String,Object[])","","Argument[0..1]","write-file","manual"
"java.io","PrintStream",true,"format","(Locale,String,Object[])","","Argument[1..2]","write-file","manual"
"java.io","PrintStream",true,"writeBytes","","","Argument[0]","write-file","manual"
"java.io","PrintStream",true,"println","","","Argument[0]","write-file","manual"
"java.io","PrintStream",true,"printf","(String,Object[])","","Argument[0..1]","write-file","manual"
"java.io","PrintStream",true,"printf","(Locale,String,Object[])","","Argument[1..2]","write-file","manual"
"java.io","PrintWriter",false,"print","","","Argument[0]","write-file","manual"
"java.io","PrintWriter",false,"format","(String,Object[])","","Argument[0..1]","write-file","manual"
"java.io","PrintWriter",false,"format","(Locale,String,Object[])","","Argument[1..2]","write-file","manual"
"java.io","PrintWriter",false,"println","","","Argument[0]","write-file","manual"
"java.io","PrintWriter",false,"printf","(String,Object[])","","Argument[0..1]","write-file","manual"
"java.io","PrintWriter",false,"printf","(Locale,String,Object[])","","Argument[1..2]","write-file","manual"
"java.io","PrintWriter",false,"PrintWriter","(String,String)","","Argument[0]","create-file","manual"
"java.io","PrintWriter",false,"PrintWriter","(String)","","Argument[0]","create-file","manual"
"java.io","PrintWriter",false,"PrintWriter","(String,Charset)","","Argument[0]","create-file","manual"
"java.io","PrintWriter",false,"PrintWriter","(File,String)","","Argument[0]","create-file","manual"
"java.io","PrintWriter",false,"PrintWriter","(File)","","Argument[0]","create-file","manual"
"java.io","PrintWriter",false,"PrintWriter","(File,Charset)","","Argument[0]","create-file","manual"
"java.io","Writer",true,"write","","","Argument[0]","write-file","manual"
"java.io","Writer",true,"append","","","Argument[0]","write-file","manual"
"java.io","FileOutputStream",false,"write","","","Argument[0]","write-file","manual"
"java.io","FileOutputStream",false,"FileOutputStream","","","Argument[0]","create-file","manual"
"java.io","FileWriter",false,"FileWriter","","","Argument[0]","create-file","manual"
"java.io","RandomAccessFile",false,"write","","","Argument[0]","write-file","manual"
"java.io","RandomAccessFile",false,"writeBytes","","","Argument[0]","write-file","manual"
"java.io","RandomAccessFile",false,"writeUTF","","","Argument[0]","write-file","manual"
"java.io","RandomAccessFile",false,"writeChars","","","Argument[0]","write-file","manual"
"java.io","RandomAccessFile",false,"RandomAccessFile","","","Argument[0]","create-file","manual"
"java.nio.file","Files",false,"write","","","Argument[0]","create-file","manual"
"java.nio.file","Files",false,"write","","","Argument[1]","write-file","manual"
"java.nio.file","Files",false,"copy","","","Argument[0]","read-file","manual"
"java.nio.file","Files",false,"copy","","","Argument[1]","create-file","manual"
"java.nio.file","Files",false,"writeString","","","Argument[0]","create-file","manual"
"java.nio.file","Files",false,"writeString","","","Argument[1]","write-file","manual"
"java.nio.file","Files",false,"move","","","Argument[1]","create-file","manual"
"java.nio.file","Files",false,"createTempFile","(Path,String,String,FileAttribute[])","","Argument[0]","create-file","manual"
"java.nio.file","Files",false,"newBufferedWriter","","","Argument[0]","create-file","manual"
"java.nio.file","Files",false,"createLink","","","Argument[0]","create-file","manual"
"java.nio.file","Files",false,"createSymbolicLink","","","Argument[0]","create-file","manual"
"java.nio.file","Files",false,"createTempDirectory","(Path,String,FileAttribute[])","","Argument[0]","create-file","manual"
"java.nio.file","Files",false,"createDirectories","","","Argument[0]","create-file","manual"
"java.nio.file","Files",false,"createDirectory","","","Argument[0]","create-file","manual"
"java.nio.file","Files",false,"createFile","","","Argument[0]","create-file","manual"
"java.nio.file","Files",false,"newOutputStream","","","Argument[0]","create-file","manual"
"java.util.function","Predicate",false,"test","(Object)","","Argument[-1]","regex-use[0]","manual"
"java.net","URL",false,"openStream","","","Argument[-1]","open-url","manual"
"java.net","URL",false,"openConnection","","","Argument[-1]","open-url","manual"
"java.net","URLClassLoader",false,"newInstance","","","Argument[0]","open-url","manual"
"java.net","URLClassLoader",false,"URLClassLoader","(URL[])","","Argument[0]","open-url","manual"
"java.net","URLClassLoader",false,"URLClassLoader","(URL[],ClassLoader)","","Argument[0]","open-url","manual"
