ecosystem,packageName,name,displayName,description,recipeCount,category1,category2,category1Description,category2Description,options
maven,org.openrewrite:rewrite-json,org.openrewrite.json.AddKeyValue,Add value to JSON Object,"Adds a `value` at the specified `keyPath` with the specified `key`, if the key doesn't already exist.",1,,JSON,,Basic building blocks for transforming JSON.,"[{""name"":""keyPath"",""type"":""String"",""displayName"":""Key path"",""description"":""A JsonPath expression to locate the *parent* JSON entry."",""example"":""'$.subjects.*' or '$.' or '$.x[1].y.*' etc."",""required"":true},{""name"":""key"",""type"":""String"",""displayName"":""Key"",""description"":""The key to create."",""example"":""myKey"",""required"":true},{""name"":""value"",""type"":""String"",""displayName"":""Value"",""description"":""The value to add to the document at the specified key. Can be of any type representing JSON value. String values should be quoted to be inserted as Strings."",""example"":""`\""myValue\""` or `{\""a\"": 1}` or `[ 123 ]`"",""required"":true},{""name"":""prepend"",""type"":""Boolean"",""displayName"":""Prepend"",""description"":""If set to `true` the value will be added to the beginning of the object""}]"
maven,org.openrewrite:rewrite-json,org.openrewrite.json.ChangeKey,Change key,"Change a JSON mapping entry key, while leaving the value intact.",1,,JSON,,Basic building blocks for transforming JSON.,"[{""name"":""oldKeyPath"",""type"":""String"",""displayName"":""Old key path"",""description"":""A [JsonPath](https://docs.openrewrite.org/reference/jsonpath-and-jsonpathmatcher-reference) expression to locate a JSON entry."",""example"":""$.subjects.kind"",""required"":true},{""name"":""newKey"",""type"":""String"",""displayName"":""New key"",""description"":""The new name for the key selected by oldKeyPath."",""example"":""kind"",""required"":true}]"
maven,org.openrewrite:rewrite-json,org.openrewrite.json.ChangeValue,Change value,Change a JSON mapping entry value leaving the key intact.,1,,JSON,,Basic building blocks for transforming JSON.,"[{""name"":""oldKeyPath"",""type"":""String"",""displayName"":""Key path"",""description"":""A [JsonPath](https://docs.openrewrite.org/reference/jsonpath-and-jsonpathmatcher-reference) expression to locate a JSON entry."",""example"":""$.subjects.kind"",""required"":true},{""name"":""value"",""type"":""String"",""displayName"":""New value"",""description"":""The new JSON value to set for the key identified by oldKeyPath."",""example"":""'Deployment'"",""required"":true}]"
maven,org.openrewrite:rewrite-json,org.openrewrite.json.DeleteKey,Delete key,Delete a JSON mapping entry key.,1,,JSON,,Basic building blocks for transforming JSON.,"[{""name"":""keyPath"",""type"":""String"",""displayName"":""Key path"",""description"":""A [JsonPath](https://docs.openrewrite.org/reference/jsonpath-and-jsonpathmatcher-reference) expression to locate a JSON entry."",""example"":""$.subjects.kind"",""required"":true}]"
maven,org.openrewrite:rewrite-json,org.openrewrite.json.CopyValue,Copy JSON value,Copies a JSON value from one key to another. The existing key/value pair remains unaffected by this change. Attempts to create the new key if it does not exist.,1,,JSON,,Basic building blocks for transforming JSON.,"[{""name"":""sourceKeyPath"",""type"":""String"",""displayName"":""Source key path"",""description"":""A [JSONPath](https://www.rfc-editor.org/rfc/rfc9535.html) expression to locate a JSON value to copy."",""example"":""$.source.kind"",""required"":true},{""name"":""sourceFilePath"",""type"":""String"",""displayName"":""Source file path"",""description"":""The file path to the JSON file to copy the value from. If `null` then the value will be copied from any JSON file it appears within."",""example"":""src/main/resources/application.json""},{""name"":""destinationKeyPath"",""type"":""String"",""displayName"":""Destination key path"",""description"":""A [JSONPath](https://www.rfc-editor.org/rfc/rfc9535.html) expression to locate the *parent* JSON entry."",""example"":""'$.subjects.*' or '$.' or '$.x[1].y.*' etc."",""required"":true},{""name"":""destinationKey"",""type"":""String"",""displayName"":""Destination key"",""description"":""The key to create."",""example"":""myKey"",""required"":true},{""name"":""destinationFilePath"",""type"":""String"",""displayName"":""Destination file path"",""description"":""The file path to the JSON file to copy the value to. If `null` then the value will be copied only into the same file it was found in."",""example"":""src/main/resources/application.json""}]"
maven,org.openrewrite:rewrite-json,org.openrewrite.json.CreateJsonFile,Create JSON file,Create a new JSON file.,1,,JSON,,Basic building blocks for transforming JSON.,"[{""name"":""relativeFileName"",""type"":""String"",""displayName"":""Relative file path"",""description"":""File path of new file."",""example"":""foo/bar/baz.json"",""required"":true},{""name"":""fileContents"",""type"":""String"",""displayName"":""File contents"",""description"":""Multiline text content for the file."",""example"":""{\""a\"": {\""property\"": \""value\""}, \""another\"": {\""property\"": \""value\""}}""},{""name"":""fileContentsUrl"",""type"":""String"",""displayName"":""File contents URL"",""description"":""URL to file containing text content for the file. Use either `fileContents` or `fileContentsUrl` option."",""example"":""http://foo.bar/baz.json""},{""name"":""overwriteExisting"",""type"":""Boolean"",""displayName"":""Overwrite existing file"",""description"":""If there is an existing file, should it be overwritten.""}]"
maven,org.openrewrite:rewrite-json,org.openrewrite.json.format.AutoFormat,Format JSON,Format JSON code using a standard comprehensive set of JSON formatting recipes.,1,Format,JSON,,Basic building blocks for transforming JSON.,
maven,org.openrewrite:rewrite-json,org.openrewrite.json.format.Indents,JSON indent,Format tabs and indents in JSON.,1,Format,JSON,,Basic building blocks for transforming JSON.,
maven,org.openrewrite:rewrite-json,org.openrewrite.json.format.WrappingAndBraces,JSON new lines,Split members into separate lines in JSON.,1,Format,JSON,,Basic building blocks for transforming JSON.,
maven,org.openrewrite:rewrite-json,org.openrewrite.json.search.FindKey,Find JSON object members,Find JSON object members by JsonPath expression.,1,Search,JSON,,Basic building blocks for transforming JSON.,"[{""name"":""key"",""type"":""String"",""displayName"":""Key path"",""description"":""A JsonPath expression used to find matching keys."",""example"":""$.subjects.kind"",""required"":true}]"
