ecosystem,packageName,name,displayName,description,recipeCount,category1,category2,category1Description,category2Description,options,dataTables
maven,org.openrewrite:rewrite-kotlin,org.openrewrite.kotlin.FindKotlinSources,Find Kotlin sources and collect data metrics,Use data table to collect source files types and counts of files with extensions `.kt`.,1,,Kotlin,,Recipes to search and transform Kotlin.,"[{""name"":""markCompilationUnits"",""type"":""Boolean"",""displayName"":""Find Kotlin compilation units"",""description"":""Limit the search results to Kotlin CompilationUnits.""}]","[{""name"":""org.openrewrite.kotlin.table.KotlinSourceFile"",""displayName"":""Kotlin source files"",""description"":""Kotlin sources present in LSTs on the SAAS."",""columns"":[{""name"":""sourcePath"",""type"":""String"",""displayName"":""Source path before the run"",""description"":""The source path of the file before the run.""},{""name"":""sourceFileType"",""type"":""SourceFileType"",""displayName"":""Source file type"",""description"":""The source file type that was created.""}]}]"
maven,org.openrewrite:rewrite-kotlin,org.openrewrite.kotlin.OrderImports,Order Kotlin imports,"Groups and orders import statements. If a [style has been defined](https://docs.openrewrite.org/concepts-and-explanations/styles), this recipe will order the imports according to that style. If no style is detected, this recipe will default to ordering imports in the same way that IntelliJ IDEA does.",1,,Kotlin,,Recipes to search and transform Kotlin.,,
maven,org.openrewrite:rewrite-kotlin,org.openrewrite.kotlin.RenameTypeAlias,Rename type alias,Change the name of a given type alias.,1,,Kotlin,,Recipes to search and transform Kotlin.,"[{""name"":""aliasName"",""type"":""String"",""displayName"":""Old alias name"",""description"":""Name of the alias type."",""example"":""OldAlias"",""required"":true},{""name"":""newName"",""type"":""String"",""displayName"":""New alias name"",""description"":""Name of the alias type."",""example"":""NewAlias"",""required"":true},{""name"":""fullyQualifiedAliasedType"",""type"":""String"",""displayName"":""Target fully qualified type"",""description"":""Fully-qualified class name of the aliased type."",""example"":""org.junit.Assume"",""required"":true}]",
maven,org.openrewrite:rewrite-kotlin,org.openrewrite.kotlin.ReplaceDeprecatedKotlinMethod,Replace deprecated Kotlin method,Replaces deprecated Kotlin method calls based on `@Deprecated(replaceWith=ReplaceWith(...))` annotations.,1,,Kotlin,,Recipes to search and transform Kotlin.,"[{""name"":""methodPattern"",""type"":""String"",""displayName"":""Method pattern"",""description"":""A method pattern that is used to find matching method invocations."",""example"":""arrow.core.MapKt mapOrAccumulate(kotlin.Function2)"",""required"":true},{""name"":""replacement"",""type"":""String"",""displayName"":""Replacement"",""description"":""The replacement expression from `@Deprecated(replaceWith=ReplaceWith(...))`. Parameter names from the original method can be used directly."",""example"":""mapValuesOrAccumulate(transform)"",""required"":true},{""name"":""imports"",""type"":""List"",""displayName"":""Imports"",""description"":""List of imports to add when the replacement is made."",""example"":""[\""arrow.core.Either\""]""},{""name"":""classpathFromResources"",""type"":""List"",""displayName"":""Classpath from resources"",""description"":""List of classpath resource names for parsing the replacement template."",""example"":""[\""arrow-core-2\""]""}]",
maven,org.openrewrite:rewrite-kotlin,org.openrewrite.kotlin.cleanup.EqualsMethodUsage,Structural equality tests should use `==` or `!=`,"In Kotlin, `==` means structural equality and `!=` structural inequality and both map to the left-side term’s `equals()` function. It is, therefore, redundant to call `equals()` as a function. Also, `==` and `!=` are more general than `equals()` and `!equals()` because it allows either of both operands to be `null`.
Developers using `equals()` instead of `==` or `!=` is often the result of adapting styles from other languages like Java, where `==` means reference equality and `!=` means reference inequality.
The `==` and `!=` operators are a more concise and elegant way to test structural equality than calling a function.",1,Cleanup,Kotlin,,Recipes to search and transform Kotlin.,,
maven,org.openrewrite:rewrite-kotlin,org.openrewrite.kotlin.cleanup.ImplicitParameterInLambda,`it` shouldn't be used as a lambda parameter name,"`it` is a special identifier that allows you to refer to the current parameter being passed to a lambda expression without explicitly naming the parameter. Lambda expressions are a concise way of writing anonymous functions. Many lambda expressions have only one parameter, when this is true the compiler can determine the parameter type by context. Thus when using it with single parameter lambda expressions, you do not need to declare the type.",1,Cleanup,Kotlin,,Recipes to search and transform Kotlin.,,
maven,org.openrewrite:rewrite-kotlin,org.openrewrite.kotlin.cleanup.RemoveLambdaArgumentParentheses,Remove method invocation parentheses around single lambda argument,"For example, convert `1.let({ it + 1 })` to `1.let { it + 1 }`.",1,Cleanup,Kotlin,,Recipes to search and transform Kotlin.,,
maven,org.openrewrite:rewrite-kotlin,org.openrewrite.kotlin.cleanup.RemoveTrailingComma,Remove trailing comma in Kotlin,"Remove trailing commas in variable, parameter, and class property lists.",1,Cleanup,Kotlin,,Recipes to search and transform Kotlin.,,
maven,org.openrewrite:rewrite-kotlin,org.openrewrite.kotlin.cleanup.RemoveTrailingSemicolon,Remove unnecessary trailing semicolon,"Some Java programmers may mistakenly add semicolons at the end when writing Kotlin code, but in reality, they are not necessary.",1,Cleanup,Kotlin,,Recipes to search and transform Kotlin.,,
maven,org.openrewrite:rewrite-kotlin,org.openrewrite.kotlin.cleanup.ReplaceCharToIntWithCode,Replace `Char#toInt()` with `Char#code`,Replace the usage of the deprecated `Char#toInt()` with `Char#code`. Please ensure that your Kotlin version is 1.5 or later to support the `Char#code` property. Note that the current implementation does not perform a Kotlin version check.,1,Cleanup,Kotlin,,Recipes to search and transform Kotlin.,,
