ecosystem,packageName,name,displayName,description,recipeCount,category1,category2,category3,category4,options,dataTables
maven,org.openrewrite:rewrite-maven,org.openrewrite.maven.AddAnnotationProcessor,Add an annotation processor to `maven-compiler-plugin`,Add an annotation processor to the maven compiler plugin. Will not do anything if it already exists. Also doesn't add anything when no other annotation processors are defined yet. (Perhaps `ChangePluginConfiguration` can be used).,1,,Maven,Openrewrite,Org,"[{""name"":""groupId"",""type"":""String"",""displayName"":""Group"",""description"":""The first part of the coordinate 'org.projectlombok:lombok-mapstruct-binding:0.2.0' of the processor to add."",""example"":""org.projectlombok"",""required"":true},{""name"":""artifactId"",""type"":""String"",""displayName"":""Artifact"",""description"":""The second part of a coordinate 'org.projectlombok:lombok-mapstruct-binding:0.2.0' of the processor to add."",""example"":""lombok-mapstruct-binding"",""required"":true},{""name"":""version"",""type"":""String"",""displayName"":""Version"",""description"":""The third part of a coordinate 'org.projectlombok:lombok-mapstruct-binding:0.2.0' of the processor to add. Note that an exact version is expected"",""example"":""0.2.0"",""required"":true}]",
maven,org.openrewrite:rewrite-maven,org.openrewrite.maven.AddCommentToMavenDependency,Add a comment to a `Maven` dependency or plugin,Adds a comment as the first element in a `Maven` dependency or plugin.,1,,Maven,Openrewrite,Org,"[{""name"":""xPath"",""type"":""String"",""displayName"":""XPath"",""description"":""An XPath expression used to find matching tags."",""example"":""/project/dependencies/dependency"",""required"":true},{""name"":""groupId"",""type"":""String"",""displayName"":""Group"",""description"":""The first part of a dependency coordinate `com.google.guava:guava:VERSION`."",""example"":""com.google.guava"",""required"":true},{""name"":""artifactId"",""type"":""String"",""displayName"":""Artifact"",""description"":""The second part of a dependency coordinate `com.google.guava:guava:VERSION`."",""example"":""guava"",""required"":true},{""name"":""commentText"",""type"":""String"",""displayName"":""Comment text"",""description"":""The text to add as a comment.."",""example"":""This is excluded due to CVE <X> and will be removed when we upgrade the next version is available."",""required"":true}]",
maven,org.openrewrite:rewrite-maven,org.openrewrite.maven.AddParentPom,Add Maven parent,Add a parent pom to a Maven pom.xml. Does nothing if a parent pom is already present.,1,,Maven,Openrewrite,Org,"[{""name"":""groupId"",""type"":""String"",""displayName"":""Group ID"",""description"":""The group ID of the maven parent pom to be adopted."",""example"":""org.springframework.boot"",""required"":true},{""name"":""artifactId"",""type"":""String"",""displayName"":""Artifact ID"",""description"":""The artifact ID of the maven parent pom to be adopted."",""example"":""spring-boot-starter-parent"",""required"":true},{""name"":""version"",""type"":""String"",""displayName"":""Version"",""description"":""An exact version number or node-style semver selector used to select the version number."",""example"":""29.X"",""required"":true},{""name"":""relativePath"",""type"":""String"",""displayName"":""Relative path"",""description"":""New relative path attribute for parent lookup."",""example"":""../pom.xml"",""required"":true},{""name"":""versionPattern"",""type"":""String"",""displayName"":""Version pattern"",""description"":""Allows version selection to be extended beyond the original Node Semver semantics. So for example,Setting 'version' to \""25-29\"" can be paired with a metadata pattern of \""-jre\"" to select Guava 29.0-jre"",""example"":""-jre""}]","[{""name"":""org.openrewrite.maven.table.MavenMetadataFailures"",""displayName"":""Maven metadata failures"",""description"":""Attempts to resolve maven metadata that failed."",""columns"":[{""name"":""group"",""type"":""String"",""displayName"":""Group id"",""description"":""The groupId of the artifact for which the metadata download failed.""},{""name"":""artifactId"",""type"":""String"",""displayName"":""Artifact id"",""description"":""The artifactId of the artifact for which the metadata download failed.""},{""name"":""version"",""type"":""String"",""displayName"":""Version"",""description"":""The version of the artifact for which the metadata download failed.""},{""name"":""mavenRepositoryUri"",""type"":""String"",""displayName"":""Maven repository"",""description"":""The URL of the Maven repository that the metadata download failed on.""},{""name"":""snapshots"",""type"":""String"",""displayName"":""Snapshots"",""description"":""Does the repository support snapshots.""},{""name"":""releases"",""type"":""String"",""displayName"":""Releases"",""description"":""Does the repository support releases.""},{""name"":""failure"",""type"":""String"",""displayName"":""Failure"",""description"":""The reason the metadata download failed.""}]}]"
maven,org.openrewrite:rewrite-maven,org.openrewrite.maven.AddPlugin,Add Maven plugin,Add the specified Maven plugin to the pom.xml.,1,,Maven,Openrewrite,Org,"[{""name"":""groupId"",""type"":""String"",""displayName"":""Group"",""description"":""The first part of a dependency coordinate 'org.openrewrite.maven:rewrite-maven-plugin:VERSION'."",""example"":""org.openrewrite.maven"",""required"":true},{""name"":""artifactId"",""type"":""String"",""displayName"":""Artifact"",""description"":""The second part of a dependency coordinate 'org.openrewrite.maven:rewrite-maven-plugin:VERSION'."",""example"":""rewrite-maven-plugin"",""required"":true},{""name"":""version"",""type"":""String"",""displayName"":""Version"",""description"":""A fixed version of the plugin to add."",""example"":""1.0.0""},{""name"":""configuration"",""type"":""String"",""displayName"":""Configuration"",""description"":""Optional plugin configuration provided as raw XML"",""example"":""<configuration><foo>foo</foo></configuration>""},{""name"":""dependencies"",""type"":""String"",""displayName"":""Dependencies"",""description"":""Optional plugin dependencies provided as raw XML."",""example"":""<dependencies><dependency><groupId>com.yourorg</groupId><artifactId>core-lib</artifactId><version>1.0.0</version></dependency></dependencies>""},{""name"":""executions"",""type"":""String"",""displayName"":""Executions"",""description"":""Optional executions provided as raw XML."",""example"":""<executions><execution><phase>generate-sources</phase><goals><goal>add-source</goal></goals></execution></executions>""},{""name"":""filePattern"",""type"":""String"",""displayName"":""File pattern"",""description"":""A glob expression that can be used to constrain which directories or source files should be searched. Multiple patterns may be specified, separated by a semicolon `;`. If multiple patterns are supplied any of the patterns matching will be interpreted as a match. When not set, all source files are searched. "",""example"":""**/*-parent/grpc-*/pom.xml""}]",
maven,org.openrewrite:rewrite-maven,org.openrewrite.maven.AddPluginDependency,Add Maven plugin dependencies,Adds the specified dependencies to a Maven plugin. Will not add the plugin if it does not already exist in the pom.,1,,Maven,Openrewrite,Org,"[{""name"":""pluginGroupId"",""type"":""String"",""displayName"":""Plugin group"",""description"":""Group ID of the plugin to which the dependency will be added. A group ID is the first part of a dependency coordinate `org.openrewrite.maven:rewrite-maven-plugin:VERSION`."",""example"":""org.openrewrite.maven"",""required"":true},{""name"":""pluginArtifactId"",""type"":""String"",""displayName"":""Plugin artifact"",""description"":""Artifact ID of the plugin to which the dependency will be added.The second part of a dependency coordinate `org.openrewrite.maven:rewrite-maven-plugin:VERSION`."",""example"":""rewrite-maven-plugin"",""required"":true},{""name"":""groupId"",""type"":""String"",""displayName"":""Group"",""description"":""The group ID of the dependency to add."",""example"":""org.openrewrite.recipe"",""required"":true},{""name"":""artifactId"",""type"":""String"",""displayName"":""Artifact"",""description"":""The artifact ID of the dependency to add."",""example"":""org.openrewrite.recipe"",""required"":true},{""name"":""version"",""type"":""String"",""displayName"":""Version"",""description"":""The version of the dependency to add."",""example"":""org.openrewrite.recipe"",""required"":true}]",
maven,org.openrewrite:rewrite-maven,org.openrewrite.maven.AddProfile,Add Maven profile,Add a maven profile to a `pom.xml` file.,1,,Maven,Openrewrite,Org,"[{""name"":""id"",""type"":""String"",""displayName"":""id"",""description"":""The profile id."",""example"":""default"",""required"":true},{""name"":""activation"",""type"":""String"",""displayName"":""Activation"",""description"":""activation details of a maven profile, provided as raw XML."",""example"":""<activation><foo>foo</foo></activation>""},{""name"":""properties"",""type"":""String"",""displayName"":""Properties"",""description"":""properties of a maven profile, provided as raw XML."",""example"":""<properties><foo>foo</foo><bar>bar</bar></properties>""},{""name"":""build"",""type"":""String"",""displayName"":""build"",""description"":""build details of a maven profile, provided as raw XML."",""example"":""<build><foo>foo</foo></build>""}]",
maven,org.openrewrite:rewrite-maven,org.openrewrite.maven.AddProperty,Add Maven project property,Add a new property to the Maven project property. Prefers to add the property to the parent if the project has multiple modules.,1,,Maven,Openrewrite,Org,"[{""name"":""key"",""type"":""String"",""displayName"":""Key"",""description"":""The name of the property key to be added."",""example"":""junit.version"",""required"":true},{""name"":""value"",""type"":""String"",""displayName"":""Value"",""description"":""The value of property to be added."",""example"":""4.13"",""required"":true},{""name"":""preserveExistingValue"",""type"":""Boolean"",""displayName"":""Preserve existing value"",""description"":""Preserve previous value if the property already exists in the pom file.""},{""name"":""trustParent"",""type"":""Boolean"",""displayName"":""Trust parent POM"",""description"":""If the parent defines a property with the same key, trust it even if the value isn't the same. Useful when you want to wait for the parent to have its value changed first. The parent is not trusted by default.""}]",
maven,org.openrewrite:rewrite-maven,org.openrewrite.maven.AddRepository,Add repository,Adds a new Maven Repository or updates a matching repository.,1,,Maven,Openrewrite,Org,"[{""name"":""id"",""type"":""String"",""displayName"":""Repository ID"",""description"":""A unique name to describe the repository."",""example"":""repo-id"",""required"":true},{""name"":""url"",""type"":""String"",""displayName"":""Repository URL"",""description"":""The URL of the repository."",""example"":""http://myrepo.maven.com/repo"",""required"":true},{""name"":""repoName"",""type"":""String"",""displayName"":""Repository name"",""description"":""A display name for the repository."",""example"":""My Great Repo Name""},{""name"":""layout"",""type"":""String"",""displayName"":""Repository layout"",""description"":""The Maven layout of the repository."",""example"":""default""},{""name"":""snapshotsEnabled"",""type"":""Boolean"",""displayName"":""Enable snapshots"",""description"":""Snapshots from the repository are available.""},{""name"":""snapshotsChecksumPolicy"",""type"":""String"",""displayName"":""Snapshots checksum policy"",""description"":""Governs whether snapshots require checksums."",""example"":""warn""},{""name"":""snapshotsUpdatePolicy"",""type"":""String"",""displayName"":""Snapshots update policy"",""description"":""The policy governing snapshot updating interval."",""example"":""always""},{""name"":""releasesEnabled"",""type"":""Boolean"",""displayName"":""Releases enabled"",""description"":""Releases from the repository are available""},{""name"":""releasesChecksumPolicy"",""type"":""String"",""displayName"":""Releases checksum policy"",""description"":""Governs whether releases require checksums."",""example"":""fail""},{""name"":""releasesUpdatePolicy"",""type"":""String"",""displayName"":""Releases update policy"",""description"":""The policy governing release updating interval."",""example"":""never""},{""name"":""type"",""type"":""Type"",""displayName"":""Repository type"",""description"":""The type of repository to add."",""example"":""Repository""}]",
maven,org.openrewrite:rewrite-maven,org.openrewrite.maven.ChangeDependencyClassifier,Change Maven dependency classifier,Add or alter the classifier of the specified dependency.,1,,Maven,Openrewrite,Org,"[{""name"":""groupId"",""type"":""String"",""displayName"":""Group"",""description"":""The first part of a dependency coordinate `com.google.guava:guava:VERSION`. This can be a glob expression."",""example"":""com.google.guava"",""required"":true},{""name"":""artifactId"",""type"":""String"",""displayName"":""Artifact"",""description"":""The second part of a dependency coordinate `com.google.guava:guava:VERSION`. This can be a glob expression."",""example"":""guava"",""required"":true},{""name"":""newClassifier"",""type"":""String"",""displayName"":""New classifier"",""description"":""Classifier to apply to specified Maven dependency. May be omitted, which indicates that no classifier should be added and any existing scope be removed from the dependency."",""example"":""jar""},{""name"":""changeManagedDependency"",""type"":""Boolean"",""displayName"":""Change Maven managed dependency"",""description"":""This flag can be set to explicitly change the classifier in Maven management dependency section. Default `false`."",""example"":""true""}]",
maven,org.openrewrite:rewrite-maven,org.openrewrite.maven.ChangeDependencyGroupIdAndArtifactId,Change Maven dependency,Change a Maven dependency coordinates. The `newGroupId` or `newArtifactId` **MUST** be different from before. Matching `<dependencyManagement>` coordinates are also updated if a `newVersion` or `versionPattern` is provided.,1,,Maven,Openrewrite,Org,"[{""name"":""oldGroupId"",""type"":""String"",""displayName"":""Old groupId"",""description"":""The old groupId to replace. The groupId is the first part of a dependency coordinate `com.google.guava:guava:VERSION`. Supports glob expressions."",""example"":""org.openrewrite.recipe"",""required"":true},{""name"":""oldArtifactId"",""type"":""String"",""displayName"":""Old artifactId"",""description"":""The old artifactId to replace. The artifactId is the second part of a dependency coordinate `com.google.guava:guava:VERSION`. Supports glob expressions."",""example"":""rewrite-testing-frameworks"",""required"":true},{""name"":""newGroupId"",""type"":""String"",""displayName"":""New groupId"",""description"":""The new groupId to use. Defaults to the existing group id."",""example"":""corp.internal.openrewrite.recipe""},{""name"":""newArtifactId"",""type"":""String"",""displayName"":""New artifactId"",""description"":""The new artifactId to use. Defaults to the existing artifact id."",""example"":""rewrite-testing-frameworks""},{""name"":""newVersion"",""type"":""String"",""displayName"":""New version"",""description"":""An exact version number or node-style semver selector used to select the version number."",""example"":""29.X""},{""name"":""versionPattern"",""type"":""String"",""displayName"":""Version pattern"",""description"":""Allows version selection to be extended beyond the original Node Semver semantics. So for example,Setting 'version' to \""25-29\"" can be paired with a metadata pattern of \""-jre\"" to select Guava 29.0-jre"",""example"":""-jre""},{""name"":""overrideManagedVersion"",""type"":""Boolean"",""displayName"":""Override managed version"",""description"":""If the new dependency has a managed version, this flag can be used to explicitly set the version on the dependency. The default for this flag is `false`.""},{""name"":""changeManagedDependency"",""type"":""Boolean"",""displayName"":""Update dependency management"",""description"":""Also update the dependency management section. The default for this flag is `true`.""}]","[{""name"":""org.openrewrite.maven.table.MavenMetadataFailures"",""displayName"":""Maven metadata failures"",""description"":""Attempts to resolve maven metadata that failed."",""columns"":[{""name"":""group"",""type"":""String"",""displayName"":""Group id"",""description"":""The groupId of the artifact for which the metadata download failed.""},{""name"":""artifactId"",""type"":""String"",""displayName"":""Artifact id"",""description"":""The artifactId of the artifact for which the metadata download failed.""},{""name"":""version"",""type"":""String"",""displayName"":""Version"",""description"":""The version of the artifact for which the metadata download failed.""},{""name"":""mavenRepositoryUri"",""type"":""String"",""displayName"":""Maven repository"",""description"":""The URL of the Maven repository that the metadata download failed on.""},{""name"":""snapshots"",""type"":""String"",""displayName"":""Snapshots"",""description"":""Does the repository support snapshots.""},{""name"":""releases"",""type"":""String"",""displayName"":""Releases"",""description"":""Does the repository support releases.""},{""name"":""failure"",""type"":""String"",""displayName"":""Failure"",""description"":""The reason the metadata download failed.""}]}]"
