ecosystem,packageName,name,displayName,description,recipeCount,category1,category2,category1Description,category2Description,options,dataTables
maven,org.openrewrite:rewrite-xml,org.openrewrite.xml.AddCommentToXmlTag,Add a comment to an XML tag,Adds a comment as the first element in an XML tag.,1,,XML,,Basic building blocks for transforming XML.,"[{""name"":""xPath"",""type"":""String"",""displayName"":""XPath"",""description"":""An XPath expression used to find matching tags."",""example"":""/project/dependencies/dependency"",""required"":true},{""name"":""commentText"",""type"":""String"",""displayName"":""Comment text"",""description"":""The text to add as a comment.."",""example"":""This is excluded due to CVE <X> and will be removed when we upgrade the next version is available."",""required"":true}]",
maven,org.openrewrite:rewrite-xml,org.openrewrite.xml.AddOrUpdateChildTag,Add or update child tag,"Adds or updates a child element below the parent(s) matching the provided `parentXPath` expression. If a child with the same name already exists, it will be replaced by default. Otherwise, a new child will be added. This ensures idempotent behaviour.",1,,XML,,Basic building blocks for transforming XML.,"[{""name"":""parentXPath"",""type"":""String"",""displayName"":""Parent XPath"",""description"":""XPath identifying the parent to which a child tag must be added"",""example"":""/project//plugin//configuration"",""required"":true},{""name"":""newChildTag"",""type"":""String"",""displayName"":""New child tag"",""description"":""The XML of the new child to add or update on the parent tag."",""example"":""<skip>true</skip>"",""required"":true},{""name"":""replaceExisting"",""type"":""Boolean"",""displayName"":""Replace existing child"",""description"":""Set to `false` to not replace the child tag if it already exists. Defaults to true.""}]",
maven,org.openrewrite:rewrite-xml,org.openrewrite.xml.AddTagAttribute,Add new XML attribute for an Element,Add new XML attribute with value on a specified element.,1,,XML,,Basic building blocks for transforming XML.,"[{""name"":""elementName"",""type"":""String"",""displayName"":""Element name"",""description"":""The name of the element whose attribute's value is to be added. Interpreted as an XPath expression."",""example"":""//beans/bean"",""required"":true},{""name"":""attributeName"",""type"":""String"",""displayName"":""Attribute name"",""description"":""The name of the new attribute."",""example"":""attribute-name"",""required"":true},{""name"":""newValue"",""type"":""String"",""displayName"":""New value"",""description"":""The new value to be used for key specified by `attributeName`."",""example"":""value-to-add"",""required"":true}]",
maven,org.openrewrite:rewrite-xml,org.openrewrite.xml.ChangeNamespaceValue,Change XML attribute of a specific resource version,Alters XML Attribute value within specified element of a specific resource versions.,1,,XML,,Basic building blocks for transforming XML.,"[{""name"":""elementName"",""type"":""String"",""displayName"":""Element name"",""description"":""The name of the element whose attribute's value is to be changed. Interpreted as an XPath Expression."",""example"":""property""},{""name"":""oldValue"",""type"":""String"",""displayName"":""Old value"",""description"":""Only change the property value if it matches the configured `oldValue`."",""example"":""newfoo.bar.attribute.value.string""},{""name"":""newValue"",""type"":""String"",""displayName"":""New value"",""description"":""The new value to be used for the namespace."",""example"":""newfoo.bar.attribute.value.string"",""required"":true},{""name"":""versionMatcher"",""type"":""String"",""displayName"":""Resource version"",""description"":""The version of resource to change"",""example"":""1.1""},{""name"":""searchAllNamespaces"",""type"":""Boolean"",""displayName"":""Search all namespaces"",""description"":""Specify whether evaluate all namespaces. Defaults to true"",""example"":""true""},{""name"":""newVersion"",""type"":""String"",""displayName"":""New Resource version"",""description"":""The new version of the resource"",""example"":""2.0"",""required"":true},{""name"":""newSchemaLocation"",""type"":""String"",""displayName"":""Schema location"",""description"":""The new value to be used for the namespace schema location."",""example"":""newfoo.bar.attribute.value.string""}]",
maven,org.openrewrite:rewrite-xml,org.openrewrite.xml.ChangeTagAttribute,Change XML attribute,Alters XML attribute value on a specified element.,1,,XML,,Basic building blocks for transforming XML.,"[{""name"":""elementName"",""type"":""String"",""displayName"":""Element name"",""description"":""The name of the element whose attribute's value is to be changed. Interpreted as an XPath expression."",""example"":""property"",""required"":true},{""name"":""attributeName"",""type"":""String"",""displayName"":""Attribute name"",""description"":""The name of the attribute whose value is to be changed."",""example"":""name"",""required"":true},{""name"":""newValue"",""type"":""String"",""displayName"":""New value"",""description"":""The new value to be used for key specified by `attributeName`, Set to null if you want to remove the attribute."",""example"":""newfoo.bar.attribute.value.string"",""required"":true},{""name"":""oldValue"",""type"":""String"",""displayName"":""Old value"",""description"":""Only change the property value if it matches the configured `oldValue`."",""example"":""foo.bar.attribute.value.string""},{""name"":""regex"",""type"":""Boolean"",""displayName"":""Regex"",""description"":""Default false. If true, `oldValue` will be interpreted as a Regular Expression, and capture group contents will be available in `newValue`.""}]",
maven,org.openrewrite:rewrite-xml,org.openrewrite.xml.ChangeTagAttributeKey,Change XML attribute key,Change an attributes key on XML elements using an XPath expression.,1,,XML,,Basic building blocks for transforming XML.,"[{""name"":""xPath"",""type"":""String"",""displayName"":""Attribute XPath"",""description"":""XPath expression to match the attribute."",""example"":""//a4j:ajax/@reRender"",""required"":true},{""name"":""newAttributeName"",""type"":""String"",""displayName"":""New attribute name"",""description"":""The new name for the attribute."",""example"":""render"",""required"":true}]",
maven,org.openrewrite:rewrite-xml,org.openrewrite.xml.ChangeTagName,Change XML tag name,Alters the name of XML tags matching the provided expression.,1,,XML,,Basic building blocks for transforming XML.,"[{""name"":""elementName"",""type"":""String"",""displayName"":""Element name"",""description"":""The name of the element whose attribute's value is to be changed. Interpreted as an XPath expression."",""example"":""/settings/servers/server/username"",""required"":true},{""name"":""newName"",""type"":""String"",""displayName"":""New name"",""description"":""The new name for the tag."",""example"":""user"",""required"":true}]",
maven,org.openrewrite:rewrite-xml,org.openrewrite.xml.ChangeTagValue,Change XML tag value,Alters the value of XML tags matching the provided expression. When regex is enabled the replacement happens only for text nodes provided the pattern matches.,1,,XML,,Basic building blocks for transforming XML.,"[{""name"":""elementName"",""type"":""String"",""displayName"":""Element name"",""description"":""The name of the element whose value is to be changed. Interpreted as an XPath Expression."",""example"":""/settings/servers/server/username"",""required"":true},{""name"":""oldValue"",""type"":""String"",""displayName"":""Old value"",""description"":""The old value of the tag. Interpreted as pattern if regex is enabled."",""example"":""user""},{""name"":""newValue"",""type"":""String"",""displayName"":""New value"",""description"":""The new value for the tag. Supports capture groups when regex is enabled. If literal $,\\ characters are needed in newValue, with regex true, then it should be escaped."",""example"":""user"",""required"":true},{""name"":""regex"",""type"":""Boolean"",""displayName"":""Regex"",""description"":""Default false. If true, `oldValue` will be interpreted as a [Regular Expression](https://en.wikipedia.org/wiki/Regular_expression), and capture group contents will be available in `newValue`.""}]",
maven,org.openrewrite:rewrite-xml,org.openrewrite.xml.RemoveEmptyXmlTags,Remove empty XML Tag,"Removes XML tags that do not have attributes or children, including self closing tags.",1,,XML,,Basic building blocks for transforming XML.,,
maven,org.openrewrite:rewrite-xml,org.openrewrite.xml.RemoveTrailingWhitespace,Remove trailing whitespace,Remove any extra trailing whitespace from the end of each line.,1,,XML,,Basic building blocks for transforming XML.,,
