ecosystem,packageName,name,displayName,description,recipeCount,category1,category2,category1Description,category2Description,options
maven,org.openrewrite:rewrite-yaml,org.openrewrite.yaml.AppendToSequence,Append to sequence,Append item to YAML sequence.,1,,YAML,,Basic building blocks for transforming YAML.,"[{""name"":""sequencePath"",""type"":""String"",""displayName"":""Sequence path"",""description"":""A [JsonPath](https://docs.openrewrite.org/reference/jsonpath-and-jsonpathmatcher-reference) expression to locate a YAML sequence."",""example"":""$.universe.planets"",""required"":true},{""name"":""value"",""type"":""String"",""displayName"":""New value"",""description"":""The new value to be appended to the sequence."",""example"":""earth"",""required"":true},{""name"":""existingSequenceValues"",""type"":""List"",""displayName"":""Optional: match existing sequence values"",""description"":""If specified, the item will only be appended if the existing sequence matches these values."",""example"":""existingValue1""},{""name"":""matchExistingSequenceValuesInAnyOrder"",""type"":""Boolean"",""displayName"":""Optional: match existing sequence values in any order"",""description"":""If specified in combination with the above parameter, the item will only be appended if the existing sequence has the specified values in any order."",""example"":""true""}]"
maven,org.openrewrite:rewrite-yaml,org.openrewrite.yaml.ChangeKey,Change key,Change a YAML mapping entry key while leaving the value intact.,1,,YAML,,Basic building blocks for transforming YAML.,"[{""name"":""oldKeyPath"",""type"":""String"",""displayName"":""Old key path"",""description"":""A [JsonPath](https://docs.openrewrite.org/reference/jsonpath-and-jsonpathmatcher-reference) expression to locate a YAML entry."",""example"":""$.subjects.kind"",""required"":true},{""name"":""newKey"",""type"":""String"",""displayName"":""New key"",""description"":""The new name for the key selected by the `oldKeyPath`."",""example"":""kind"",""required"":true}]"
maven,org.openrewrite:rewrite-yaml,org.openrewrite.yaml.ChangePropertyKey,Change property key,"Change a YAML property key while leaving the value intact. Expects dot notation for nested YAML mappings, similar to how Spring Boot interprets `application.yml` files.",1,,YAML,,Basic building blocks for transforming YAML.,"[{""name"":""oldPropertyKey"",""type"":""String"",""displayName"":""Old property key"",""description"":""The property key to rename. Supports glob patterns."",""example"":""management.metrics.binders.*.enabled"",""required"":true},{""name"":""newPropertyKey"",""type"":""String"",""displayName"":""New property key"",""description"":""The new name for the property key."",""example"":""management.metrics.enable.process.files"",""required"":true},{""name"":""relaxedBinding"",""type"":""Boolean"",""displayName"":""Use relaxed binding"",""description"":""Whether to match the `oldPropertyKey` using [relaxed binding](https://docs.spring.io/spring-boot/docs/2.5.6/reference/html/features.html#features.external-config.typesafe-configuration-properties.relaxed-binding) rules. Defaults to `true`. If you want to use exact matching in your search, set this to `false`.""},{""name"":""except"",""type"":""List"",""displayName"":""Except"",""description"":""If any of these property keys exist as direct children of `oldPropertyKey`, then they will not be moved to `newPropertyKey`."",""example"":""List.of(\""group\"")""},{""name"":""filePattern"",""type"":""String"",""displayName"":""File pattern"",""description"":""A glob expression representing a file path to search for (relative to the project root). Blank/null matches all."",""example"":"".github/workflows/*.yml""}]"
maven,org.openrewrite:rewrite-yaml,org.openrewrite.yaml.ChangePropertyValue,Change YAML property,"Change a YAML property. Expects dot notation for nested YAML mappings, similar to how Spring Boot interprets `application.yml` files.",1,,YAML,,Basic building blocks for transforming YAML.,"[{""name"":""propertyKey"",""type"":""String"",""displayName"":""Property key"",""description"":""The key to look for. Supports glob patterns."",""example"":""management.metrics.binders.*.enabled"",""required"":true},{""name"":""newValue"",""type"":""String"",""displayName"":""New value"",""description"":""The new value to be used for key specified by `propertyKey`."",""example"":""newValue"",""required"":true},{""name"":""oldValue"",""type"":""String"",""displayName"":""Old value"",""description"":""Only change the property value if it matches the configured `oldValue`."",""example"":""oldValue""},{""name"":""regex"",""type"":""Boolean"",""displayName"":""Regex"",""description"":""Default `false`. If enabled, `oldValue` will be interpreted as a Regular Expression, to replace only all parts that match the regex. Capturing group can be used in `newValue`.""},{""name"":""relaxedBinding"",""type"":""Boolean"",""displayName"":""Use relaxed binding"",""description"":""Whether to match the `propertyKey` using [relaxed binding](https://docs.spring.io/spring-boot/docs/2.5.6/reference/html/features.html#features.external-config.typesafe-configuration-properties.relaxed-binding) rules. Default is `true`. Set to `false`  to use exact matching.""},{""name"":""filePattern"",""type"":""String"",""displayName"":""File pattern"",""description"":""A glob expression representing a file path to search for (relative to the project root). Blank/null matches all."",""example"":"".github/workflows/*.yml""}]"
maven,org.openrewrite:rewrite-yaml,org.openrewrite.yaml.ChangeValue,Change value,Change a YAML mapping entry value while leaving the key intact.,1,,YAML,,Basic building blocks for transforming YAML.,"[{""name"":""keyPath"",""type"":""String"",""displayName"":""Key path"",""description"":""A [JsonPath](https://docs.openrewrite.org/reference/jsonpath-and-jsonpathmatcher-reference) expression to locate a YAML entry."",""example"":""$.subjects.kind"",""required"":true},{""name"":""value"",""type"":""String"",""displayName"":""New value"",""description"":""The new value to set for the key identified by the `oldKeyPath`."",""example"":""Deployment"",""required"":true},{""name"":""filePattern"",""type"":""String"",""displayName"":""File pattern"",""description"":""A glob expression representing a file path to search for (relative to the project root). Blank/null matches all."",""example"":"".github/workflows/*.yml""}]"
maven,org.openrewrite:rewrite-yaml,org.openrewrite.yaml.CoalesceProperties,Coalesce YAML properties,"Simplify nested map hierarchies into their simplest dot separated property form, similar to how Spring Boot interprets `application.yml` files.",1,,YAML,,Basic building blocks for transforming YAML.,"[{""name"":""exclusions"",""type"":""List"",""displayName"":""Exclusions"",""description"":""An optional list of [JsonPath](https://docs.openrewrite.org/reference/jsonpath-and-jsonpathmatcher-reference) expressions to specify keys that should not be unfolded."",""example"":""$..[org.springframework.security]""},{""name"":""applyTo"",""type"":""List"",""displayName"":""Apply to"",""description"":""An optional list of [JsonPath](https://docs.openrewrite.org/reference/jsonpath-and-jsonpathmatcher-reference) expressions that specify which keys the recipe should target only. Only the properties matching these expressions will be unfolded."",""example"":""$..[org.springframework.security]""}]"
maven,org.openrewrite:rewrite-yaml,org.openrewrite.yaml.CommentOutProperty,Comment out property,Comment out a YAML property and add a comment in front.,1,,YAML,,Basic building blocks for transforming YAML.,"[{""name"":""propertyKey"",""type"":""String"",""displayName"":""Property key"",""description"":""The key to be commented out."",""example"":""applicability.singleSource"",""required"":true},{""name"":""commentText"",""type"":""String"",""displayName"":""Comment text"",""description"":""The comment text to be added before the specified key."",""example"":""The `foo` property is deprecated, please migrate"",""required"":true},{""name"":""commentOutProperty"",""type"":""Boolean"",""displayName"":""Comment out property"",""description"":""If false, property wouldn't be commented out, only comment will be added. By default, set to true"",""example"":""true""}]"
maven,org.openrewrite:rewrite-yaml,org.openrewrite.yaml.DeleteKey,Delete key,Delete a YAML mapping entry key.,1,,YAML,,Basic building blocks for transforming YAML.,"[{""name"":""keyPath"",""type"":""String"",""displayName"":""Key path"",""description"":""A [JsonPath](https://docs.openrewrite.org/reference/jsonpath-and-jsonpathmatcher-reference) expression to locate a YAML entry."",""example"":""$.source.kind"",""required"":true},{""name"":""filePattern"",""type"":""String"",""displayName"":""File pattern"",""description"":""A glob expression representing a file path to search for (relative to the project root). Blank/null matches all."",""example"":"".github/workflows/*.yml""}]"
maven,org.openrewrite:rewrite-yaml,org.openrewrite.yaml.DeleteProperty,Delete property,"Delete a YAML property. Nested YAML mappings are interpreted as dot separated property names, i.e. as Spring Boot interprets application.yml files like `a.b.c.d` or `a.b.c:d`.",1,,YAML,,Basic building blocks for transforming YAML.,"[{""name"":""propertyKey"",""type"":""String"",""displayName"":""Property key"",""description"":""The key to be deleted."",""example"":""management.metrics.binders.files.enabled"",""required"":true},{""name"":""coalesce"",""type"":""Boolean"",""displayName"":""Coalesce"",""description"":""(Deprecated: in a future version, this recipe will always use the `false` behavior) Simplify nested map hierarchies into their simplest dot separated property form.""},{""name"":""relaxedBinding"",""type"":""Boolean"",""displayName"":""Use relaxed binding"",""description"":""Whether to match the `propertyKey` using [relaxed binding](https://docs.spring.io/spring-boot/docs/2.5.6/reference/html/features.html#features.external-config.typesafe-configuration-properties.relaxed-binding) rules. Defaults to `true`. If you want to use exact matching in your search, set this to `false`.""},{""name"":""filePattern"",""type"":""String"",""displayName"":""File pattern"",""description"":""A glob expression representing a file path to search for (relative to the project root). Blank/null matches all."",""example"":"".github/workflows/*.yml""}]"
maven,org.openrewrite:rewrite-yaml,org.openrewrite.yaml.MergeYaml,Merge YAML snippet,Merge a YAML snippet with an existing YAML document.,1,,YAML,,Basic building blocks for transforming YAML.,"[{""name"":""key"",""type"":""String"",""displayName"":""Key path"",""description"":""A [JsonPath](https://docs.openrewrite.org/reference/jsonpath-and-jsonpathmatcher-reference) expression used to find matching keys."",""example"":""$.metadata"",""required"":true},{""name"":""yaml"",""type"":""String"",""displayName"":""YAML snippet"",""description"":""The YAML snippet to insert. The snippet will be indented to match the style of its surroundings."",""example"":""labels:\n  label-one: \""value-one\"""",""required"":true},{""name"":""acceptTheirs"",""type"":""Boolean"",""displayName"":""Accept theirs"",""description"":""When the YAML snippet to insert conflicts with an existing key value pair and an existing key has a different value, prefer the original value.""},{""name"":""objectIdentifyingProperty"",""type"":""String"",""displayName"":""Object identifying property"",""description"":""Name of a property which will be used to identify objects (mapping). This serves as the key to match on when merging entries of a sequence."",""example"":""name""},{""name"":""filePattern"",""type"":""String"",""displayName"":""File pattern"",""description"":""A glob expression representing a file path to search for (relative to the project root). Blank/null matches all."",""example"":"".github/workflows/*.yml""},{""name"":""insertMode"",""type"":""InsertMode"",""displayName"":""Insert mode"",""description"":""Choose an insertion point when multiple mappings exist. Default is `Last`."",""valid"":[""Before"",""After"",""Last""]},{""name"":""insertProperty"",""type"":""String"",""displayName"":""Insert property"",""description"":""Define the key for the insertion mode. Takes the `key` JsonPath into account. Only useful when `insert mode` is either `Before` or `After`."",""example"":""some-key""},{""name"":""createNewKeys"",""type"":""Boolean"",""displayName"":""Create new keys"",""description"":""When the key path does _not_ match any keys, create new keys on the spot. Default is `true`.""}]"
